關鍵點索引,關鍵點名稱,平均位移(舊),平均位移(新),位移改善%,標準差(舊),標準差(新),平滑度(舊),平滑度(新),不穩定率(舊)%,不穩定率(新)%
0,鼻尖,0.008323393762111664,0.007927868515253067,4.751970297732835,0.01908661425113678,0.016619645059108734,0.9986008405685425,0.9987976551055908,0.0,0.0
1,左耳,0.009237691760063171,0.007641694508492947,17.277011619937344,0.02607072703540325,0.02055433578789234,0.9977234601974487,0.9983673691749573,0.0,0.0
2,右耳,0.009765811264514923,0.008224165998399258,15.786144811705945,0.02635238878428936,0.0196073055267334,0.997814416885376,0.9985525012016296,0.0,0.0
3,胸部,0.004687010310590267,0.004354843869805336,7.086956245110899,0.01410930696874857,0.0140024833381176,0.9991745352745056,0.9990848898887634,0.0,0.0
4,中背,0.003696451196447015,0.0035632140934467316,3.6044589763219212,0.009565773420035839,0.009320939891040325,0.9996371269226074,0.9996314644813538,0.0,0.0
5,髖部,0.004854357335716486,0.004631027579307556,4.600603024415319,0.01168497372418642,0.012392194010317326,0.9995550513267517,0.9994248151779175,0.0,0.0
6,左前上,0.004716694355010986,0.004444199614226818,5.777238517104387,0.014694568701088428,0.01519734039902687,0.9989781379699707,0.9988759160041809,0.0,0.0
7,左前下,0.008037127554416656,0.007484621834009886,6.874416860025853,0.020413130521774292,0.020323332399129868,0.9983565211296082,0.9982723593711853,0.0,0.0
8,右前上,0.005230233538895845,0.00533602200448513,-2.0226333026284875,0.014180079102516174,0.014660466462373734,0.9991284012794495,0.9990242123603821,0.0,0.0
9,右前下,0.009184705093502998,0.009152435697615147,0.3513383613949082,0.025501929223537445,0.025417068973183632,0.9972476959228516,0.997100293636322,0.06605019815059446,0.06605019815059446
10,左後上,0.004352465271949768,0.0042650336399674416,2.0087836761836613,0.010424338281154633,0.011021277867257595,0.9996140599250793,0.9995481371879578,0.0,0.0
11,左後下,0.006730182562023401,0.006626838352531195,1.5355332962290937,0.014144951477646828,0.014681382104754448,0.9993032813072205,0.999316394329071,0.0,0.0
12,右後上,0.0044952635653316975,0.004244194831699133,5.585182584554701,0.01017079222947359,0.008542293682694435,0.9995479583740234,0.999738872051239,0.0,0.0
13,右後下,0.006835015956312418,0.00673883268609643,1.4072133373006335,0.01657182164490223,0.0165180042386055,0.998817503452301,0.9988457560539246,0.0,0.0
14,尾根,0.005470369942486286,0.004944987129420042,9.604153330550147,0.01527909655123949,0.015046471729874611,0.9991340637207031,0.9990731477737427,0.0,0.0
15,尾中,0.005977700464427471,0.0056386468932032585,5.671972299752282,0.015990568324923515,0.01751345954835415,0.9992690682411194,0.9989191293716431,0.0,0.0
16,尾尖,0.006868010852485895,0.006896031554788351,-0.4079885548292077,0.024528348818421364,0.02121107466518879,0.9977940917015076,0.99817955493927,0.0,0.0
