filename,color_label,white_score,black_score,orange_score,gray_score,other_score,consistency,edge_density,texture_var,lbp_complexity,has_stripes
-2025-11-29-214214_png.rf.e75fb9bc4f1504d439787a4ff3398b26.jpg,orange,0.0,0.0,0.919,0.0,0.081,0.002,6.73,1337.63,245.6,False
-2025-11-29-214510_png.rf.75fee5dc20d0578bf4d67a1676ad3992.jpg,other,0.0,0.0,0.354,0.0,0.646,0.006,4.92,1754.47,248.0,False
-2025-11-29-214741_png.rf.61d072cdf19c81100f4dc7773c091846.jpg,gray,0.081,0.364,0.0,0.555,0.0,0.004,4.2,599.85,243.05,False
-2025-11-29-215031_png.rf.5520cda489c37dd4ea5d5ebb273330d5.jpg,other,0.394,0.083,0.281,0.0,0.242,0.013,8.02,2732.04,243.35,False
-2025-11-29-215048_png.rf.0e8a857ee2ec2be201f03eb1444456ed.jpg,orange,0.0,0.142,0.758,0.0,0.1,0.002,13.52,1541.43,240.89,False
00000000000202_png.rf.19f667f0739f480c45d63703939f6ae0.jpg,gray,0.011,0.381,0.0,0.601,0.006,0.006,8.22,284.72,242.55,False
00000000000204_png.rf.ced33b56e684c7d147b7d5a098b8f5fa.jpg,gray,0.02,0.395,0.0,0.45,0.135,0.01,8.19,288.98,242.92,False
0000000000031_png.rf.df5442ab77c9bb7846831e46ec2e635c.jpg,gray,0.013,0.382,0.0,0.604,0.0,0.002,6.54,240.96,244.9,False
0000000000032_png.rf.5be3c14633bcab25ebf3cd8f9287710f.jpg,gray,0.014,0.37,0.0,0.616,0.0,0.002,6.52,238.95,245.13,False
0000000000033_png.rf.152efb9c4b8735f069ad89d93c0d3d49.jpg,gray,0.016,0.384,0.0,0.6,0.0,0.003,6.56,240.2,245.17,False
0000000000036_png.rf.ba4633cb7c2bb4e7ccd7e77428379324.jpg,other,0.312,0.137,0.273,0.117,0.161,0.039,8.78,2119.6,247.16,False
00000000000402_png.rf.23f73b0f16b818ab5c85d03a7452723a.jpg,gray,0.012,0.378,0.0,0.447,0.163,0.003,7.0,244.77,244.48,False
00000000000404_png.rf.f1c49fb8b3dc8d65879c18da1cb7bdba.jpg,gray,0.015,0.373,0.0,0.453,0.159,0.003,6.88,240.78,244.75,False
0000000000054_png.rf.c741c382b9a904948e1c4f9ec8aa4448.jpg,gray,0.015,0.371,0.0,0.607,0.006,0.004,6.57,251.15,245.3,False
0000000000068_png.rf.7d449ffdcdef5557a6dda5035a9ebe59.jpg,gray,0.057,0.377,0.0,0.54,0.026,0.004,7.93,289.36,243.26,False
000000000007_png.rf.c079bf8bf08f8d76e9142d0f58370a7a.jpg,gray,0.013,0.367,0.0,0.619,0.0,0.004,8.09,298.39,243.05,False
0000000000087_png.rf.32f0dc6136ae875df8d424f596828e46.jpg,other,0.229,0.172,0.397,0.079,0.123,0.007,8.98,1753.05,243.96,False
0000000000089_png.rf.5a4272659811589501f7c277cec773bc.jpg,gray,0.027,0.383,0.0,0.59,0.0,0.003,8.42,310.58,242.44,False
00000000000901_png.rf.4e0571df320ce4833fba904ecce38c8b.jpg,gray,0.012,0.36,0.0,0.492,0.136,0.003,9.92,358.55,239.87,False
0000000000103_png.rf.9573b1c0ae0f62875ad646db7818a852.jpg,gray,0.069,0.388,0.0,0.536,0.008,0.004,10.39,421.21,240.6,False
00000000001102_png.rf.683b5467072c3e6de90944fb375d72c2.jpg,gray,0.077,0.382,0.0,0.534,0.007,0.005,10.84,428.25,239.98,False
0000000000112_png.rf.edfba9df7c2bb218628d774c0921d4ce.jpg,gray,0.082,0.384,0.0,0.527,0.007,0.007,9.85,391.87,241.56,False
000000000020_png.rf.9db6efb9551823fce579246ba0cb4746.jpg,gray,0.08,0.397,0.0,0.487,0.036,0.007,8.9,390.78,242.77,False
000000000030_png.rf.d9cb935c646217d6933342668d83ff01.jpg,black,0.062,0.402,0.0,0.328,0.209,0.002,6.04,224.3,245.91,False
0000000000315_png.rf.dae5586bae1d02c8d665556d39b4f368.jpg,other,0.196,0.223,0.168,0.307,0.106,0.028,6.05,1159.04,245.75,False
000000000032_png.rf.70b0dae24e6c642ffd236401a1aad206.jpg,other,0.328,0.0,0.236,0.289,0.147,0.016,5.07,2513.91,245.06,False
000000000033_png.rf.d097ed10c2e327d7388d2ea0335c7928.jpg,other,0.444,0.0,0.264,0.198,0.094,0.018,5.03,2531.73,245.09,False
000000000039_png.rf.b44d9f1446e0bdd7b3d4536d91ad8862.jpg,other,0.504,0.0,0.249,0.204,0.043,0.013,5.04,2633.57,245.24,False
000000000042_png.rf.31f244cb62b28b3db95d1d251068c925.jpg,other,0.49,0.0,0.23,0.125,0.155,0.009,5.0,2625.8,245.63,False
000000000048_png.rf.98b9c0ed192fe8b34282b56856e820ff.jpg,other,0.523,0.0,0.236,0.124,0.117,0.019,5.68,2547.39,245.73,False
000000000052_png.rf.f640f9b5b98d1aed8b890906a5f609c2.jpg,other,0.45,0.0,0.146,0.118,0.286,0.013,6.74,2875.42,245.23,False
000000000058_png.rf.26865dc9c21fca198d3269586fb7fb66.jpg,other,0.503,0.0,0.226,0.198,0.073,0.007,6.17,2883.45,244.72,False
000000000058_png.rf.61d3ee88b12775bd64f5f138be531b5d.jpg,white,0.435,0.0,0.156,0.18,0.229,0.006,6.21,2899.42,244.42,False
000000000064_png.rf.dc99eb61ae03651f993d7b4d1e9602c7.jpg,other,0.407,0.0,0.357,0.127,0.109,0.013,5.96,2531.22,245.94,False
000000000067_png.rf.87bed5f7793b3d501740a15f522f3e1f.jpg,other,0.284,0.0,0.393,0.0,0.324,0.008,6.19,2518.87,245.78,False
000000000068_png.rf.63c9377974ce566cf70a862e88d877cc.jpg,other,0.282,0.0,0.519,0.0,0.199,0.007,6.18,2447.18,245.56,False
000000000070_png.rf.aef30eb913d685769edb43aa7ba5dc01.jpg,other,0.216,0.0,0.572,0.0,0.212,0.011,5.85,2269.17,245.76,False
000000000091_png.rf.7633f0798de51d8297a7d38ccc9267e6.jpg,other,0.212,0.0,0.413,0.333,0.041,0.018,5.88,1895.08,245.19,False
000000000095_png.rf.c6a199777923ed21e1cb8c478251e55a.jpg,other,0.258,0.0,0.376,0.31,0.056,0.015,6.48,2107.04,243.25,False
000000000329_png.rf.387c554addbbcb625fd2e71ba10cdb37.jpg,other,0.69,0.0,0.31,0.0,0.0,0.027,8.66,3948.71,245.98,False
08c1d3c8-e9d8-42e5-be5b-c88a3cedc6eb_jpg.rf.716b3466990e312ad17290270dea71eb.jpg,orange,0.0,0.169,0.684,0.0,0.147,0.001,12.46,729.02,244.62,False
1-1-_webp.rf.bd17cb4568fffb6ce139668d78fb52af.jpg,orange,0.0,0.0,1.0,0.0,0.0,0.005,7.12,3032.91,244.83,False
1-109-_jpg.rf.cef2989b210fbb971bce768742d1efdb.jpg,other,0.0,0.0,0.29,0.0,0.71,0.006,6.63,874.32,247.09,False
1-110-_jpg.rf.b2dd0cd7b2838f63f74deef24cc4da4a.jpg,black,0.086,0.658,0.0,0.0,0.256,0.034,6.32,605.29,243.16,False
1-42-_jpg.rf.b0ffc1590905e8ebeae01b68c2d0ce42.jpg,orange,0.171,0.147,0.682,0.0,0.0,0.003,11.31,1670.29,244.91,False
1-83-_jpg.rf.842e29437b0c5d7a2a734d48134961c7.jpg,black,0.0,0.767,0.0,0.027,0.206,0.022,2.02,127.16,244.75,False
100-1-_png.rf.2932ae76eeea47880286045878ac2033.jpg,other,0.154,0.179,0.043,0.291,0.333,0.002,9.45,743.07,244.62,False
100-10-_png.rf.3a6cac55db2078ba3b40c8e53d7e1172.jpg,other,0.417,0.0,0.0,0.583,0.0,0.005,9.7,3983.18,239.99,False
100-11-_png.rf.fc28e592a78f7c7e41aba1318e21e484.jpg,other,0.088,0.124,0.0,0.361,0.426,0.003,6.5,1017.98,245.46,False
100-12-_png.rf.fee42c1346aa782465b0864ab3e658f3.jpg,orange,0.017,0.26,0.381,0.006,0.336,0.002,13.51,794.38,243.75,False
100-3-_png.rf.cb3647495434eb6a0cb6e13f53102e94.jpg,gray,0.016,0.314,0.0,0.532,0.138,0.006,5.91,430.49,243.25,False
100-4-_png.rf.f2478b664a185fb2a4a92009e2090e0a.jpg,other,0.253,0.15,0.037,0.22,0.34,0.001,17.74,1743.6,240.13,False
100-7-_png.rf.5a3b430975a8c98e4394638f7a326213.jpg,black,0.002,0.609,0.0,0.389,0.0,0.014,3.23,141.62,246.1,False
100-8-_png.rf.bf9160dea2b98eed0bb0c4b4a935e350.jpg,orange,0.0,0.0,0.996,0.0,0.004,0.005,7.82,1025.05,245.06,False
100-9-_png.rf.c71a55f9ebe77566e4272fc781f91c62.jpg,other,0.094,0.133,0.032,0.212,0.529,0.003,13.49,821.71,240.52,False
12445497644_c1307cca7b_o_jpg.rf.e30163a40064c9a36ff3e1b993b17da1.jpg,orange,0.0,0.42,0.513,0.0,0.067,0.01,7.74,453.14,245.63,False
14621895019_b6a64a7a3c_b_jpg.rf.24e5af17753d4aba303ac9deb10cd1f7.jpg,orange,0.0,0.147,0.458,0.0,0.395,0.004,7.39,513.57,245.82,False
1592086435_26e18e6dc8_b_jpg.rf.f1ea87a57f0954640417c3cd46b9953b.jpg,black,0.113,0.79,0.032,0.052,0.013,0.057,4.13,405.3,245.49,False
20250502_115511722_iOS_jpg.rf.a037f2e1e0ddd1bdfbad35b66fcba1b4.jpg,gray,0.071,0.401,0.0,0.528,0.0,0.004,9.01,525.05,242.92,False
20250710_042127597_iOS_jpg.rf.08a3d3b1a6a7414f799d732c9593fc30.jpg,gray,0.091,0.2,0.026,0.621,0.062,0.005,8.03,856.71,241.36,False
20250716_114028196_iOS_jpg.rf.6651f0b67c38787bef199b437b0ba154.jpg,black,0.0,0.508,0.002,0.263,0.227,0.018,4.81,253.37,240.04,False
20250815_085937589_iOS_jpg.rf.5135e5c3a6a78f8e5a28b05b758da49c.jpg,black_white,0.296,0.257,0.026,0.422,0.0,0.002,12.78,1985.64,240.63,False
20250911_112646909_iOS_jpg.rf.9ef0e912254c67fcd88fdfe03e1295d1.jpg,gray,0.116,0.26,0.096,0.44,0.088,0.01,11.24,1211.57,240.19,False
20250923_040910866_iOS_jpg.rf.c86b511cf09ffcc60270bae3d0b30ebf.jpg,gray,0.167,0.047,0.305,0.366,0.115,0.006,6.75,1544.63,245.06,False
232512372_c1b41f410c_o_jpg.rf.b2a728387eef373c9007fccfdf755c16.jpg,black,0.0,0.479,0.422,0.0,0.1,0.017,4.19,368.47,241.11,False
267041d9-633b-4a85-9ef0-a79130c16b8d_jpg.rf.1b8cb0cba333e157ed064704312ec26a.jpg,black,0.0,0.778,0.161,0.0,0.061,0.038,2.62,71.08,247.52,False
28059621_m_jpg.rf.c4e1ca262397db14cdaecf9f2e2e6791.jpg,other,0.054,0.387,0.015,0.144,0.401,0.005,7.83,350.45,242.86,False
3-1-_png.rf.d4daaf913728f6707d0b7116292231ec.jpg,orange,0.0,0.168,0.809,0.0,0.023,0.003,5.62,497.72,244.75,False
3-11-_png.rf.4f150f747ef7272c077f2d6532dfe263.jpg,gray,0.069,0.433,0.0,0.474,0.024,0.005,5.46,400.61,247.39,False
3-12-_png.rf.7273daa99e631e67fe3bfc8ce1c4fb45.jpg,other,0.338,0.0,0.553,0.064,0.046,0.011,5.5,2498.29,242.66,False
3-19-_png.rf.71e832c5c16d41303caec5a76e2c8dd2.jpg,white,0.79,0.0,0.0,0.21,0.0,0.019,6.45,5319.85,238.85,False
3-20-_png.rf.ac82a0079e6dafd339d03d480896a80d.jpg,white,0.656,0.024,0.105,0.197,0.017,0.029,6.44,4665.26,241.72,False
3-21-_png.rf.a67c1a9504ecdf2dd53598d4fafbca47.jpg,black,0.052,0.632,0.0,0.316,0.0,0.026,4.71,370.87,243.55,False
3-29-_png.rf.a2f8bfaa99fc2e0431d3c503c2edc6f6.jpg,orange,0.0,0.18,0.653,0.0,0.167,0.002,7.26,522.93,243.29,False
3-31-_png.rf.76bcbfc73a8fa6e1d102e67ac2d3e203.jpg,black,0.047,0.419,0.129,0.026,0.378,0.006,11.45,1313.38,239.5,False
3-37-_png.rf.03c226f81568ce2fd25086a56070c5c1.jpg,black,0.0,0.598,0.0,0.402,0.0,0.005,2.13,96.0,248.06,False
3-4-_png.rf.040973e64d96e68acd473a21c1314bde.jpg,black,0.001,0.704,0.013,0.037,0.245,0.02,5.38,202.98,236.04,False
3-40-_png.rf.d73dc570f2ca4a2c0a25278472e39fe1.jpg,gray,0.119,0.272,0.0,0.571,0.038,0.002,6.86,711.19,245.73,False
3-43-_png.rf.11775a70a2ca5aae3584622e8047d07a.jpg,orange,0.164,0.143,0.69,0.0,0.003,0.003,9.5,1524.82,245.7,False
