epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4522,1.28149,6.26059,0.32552,0.99176,2.12821,0.93963,0.9156,0.95609,0.52747,0.05111,0.04706,0.00684,0.00087,1.6269,6.89123,0.04828,0.79278,2.31319,0.0675243,0.000163194,0.000163194
2,61.9503,0.97948,4.39557,0.0904,0.45908,1.71349,0.93147,0.96471,0.97717,0.39883,0.30622,0.30588,0.15535,0.02028,2.02947,5.26545,0.04422,0.77382,2.61247,0.0343576,0.000329852,0.000329852
3,81.7503,0.97351,4.07265,0.08825,0.46733,1.70229,0.96788,0.91765,0.96454,0.52811,0.58231,0.51665,0.47335,0.0766,1.65331,4.93679,0.04229,0.66704,2.28976,0.00119092,0.000496473,0.000496473
4,101.542,0.93112,3.89777,0.0837,0.46133,1.64673,0.96595,0.98824,0.99185,0.62035,0.59754,0.58824,0.42825,0.07895,1.38028,4.59639,0.04853,0.62343,1.80368,0.000499877,0.000499877,0.000499877
5,121.127,0.91981,3.75423,0.08375,0.46176,1.64095,0.99165,0.99412,0.99476,0.63816,0.61161,0.59412,0.49456,0.07825,1.32932,4.56105,0.05124,0.55907,1.77771,0.000499781,0.000499781,0.000499781
6,140.807,0.85288,3.69029,0.08434,0.4203,1.57697,0.99166,1,0.99494,0.61624,0.73638,0.72941,0.60501,0.12018,1.40617,4.14274,0.04206,0.54731,1.8392,0.000499658,0.000499658,0.000499658
7,160.405,0.83197,3.39237,0.08581,0.42441,1.54199,0.99941,1,0.995,0.62207,0.80379,0.77114,0.73558,0.18628,1.29089,3.69595,0.04622,0.52023,1.73534,0.000499507,0.000499507,0.000499507
8,179.93,0.79733,3.22444,0.07264,0.40033,1.51403,0.99925,1,0.995,0.65209,0.89389,0.89412,0.88193,0.23381,1.24227,3.62296,0.04605,0.52458,1.67581,0.000499329,0.000499329,0.000499329
9,199.504,0.79475,3.12866,0.07457,0.41154,1.50424,0.99614,0.99412,0.995,0.80049,0.82807,0.82353,0.79762,0.21205,0.80172,3.73915,0.04204,0.43978,1.34264,0.000499124,0.000499124,0.000499124
10,219.422,0.8056,2.98843,0.07077,0.40333,1.52102,0.99382,1,0.99056,0.72425,0.86673,0.84168,0.79313,0.17993,1.08117,3.66485,0.04423,0.47294,1.55118,0.000498892,0.000498892,0.000498892
11,238.963,0.7115,2.72955,0.07739,0.37098,1.41905,0.99983,0.99412,0.995,0.70142,0.96382,0.94012,0.94768,0.32931,1.16705,3.01585,0.04215,0.48718,1.64505,0.000498632,0.000498632,0.000498632
12,258.318,0.74839,2.62723,0.07902,0.38977,1.44888,0.99364,1,0.99494,0.79908,0.95266,0.95882,0.961,0.30787,0.82042,3.13029,0.03678,0.43078,1.31699,0.000498345,0.000498345,0.000498345
13,278.001,0.71808,2.59898,0.07584,0.37348,1.41367,0.99935,1,0.995,0.72028,0.96993,0.97059,0.97504,0.33313,1.11066,2.93279,0.04182,0.44915,1.60873,0.000498031,0.000498031,0.000498031
14,297.627,0.70977,2.53876,0.07474,0.37165,1.41002,0.99995,1,0.995,0.82821,0.95282,0.95294,0.94183,0.31688,0.73652,2.95273,0.0416,0.38731,1.2419,0.000497689,0.000497689,0.000497689
15,317.459,0.72535,2.50844,0.07099,0.36468,1.42288,0.99941,1,0.995,0.73313,0.94062,0.94118,0.94353,0.33634,1.04846,2.9129,0.04731,0.42599,1.52164,0.000497321,0.000497321,0.000497321
16,337.485,0.72538,2.53567,0.07678,0.37309,1.43198,0.99875,1,0.995,0.75102,0.95775,0.94118,0.95814,0.35848,1.0071,2.8968,0.04427,0.4469,1.45797,0.000496925,0.000496925,0.000496925
17,357.433,0.6612,2.442,0.06758,0.34988,1.35733,0.98834,0.99692,0.99494,0.81372,0.97617,0.96471,0.97503,0.38149,0.74596,2.87103,0.04167,0.38405,1.23613,0.000496503,0.000496503,0.000496503
18,377.521,0.66878,2.37517,0.06786,0.34518,1.36444,1,0.98143,0.99477,0.80851,0.98756,0.96471,0.98157,0.39105,0.80333,2.7793,0.03978,0.38023,1.28467,0.000496053,0.000496053,0.000496053
19,397.394,0.63648,2.41688,0.07637,0.33868,1.32935,0.99822,0.99412,0.995,0.84292,0.96832,0.95294,0.96129,0.3571,0.71191,2.84049,0.03914,0.38713,1.19855,0.000495576,0.000495576,0.000495576
20,417.116,0.62066,2.34821,0.0659,0.33546,1.31094,0.99894,0.99412,0.995,0.81341,0.96939,0.96471,0.97437,0.40718,0.843,2.71922,0.04203,0.41082,1.36257,0.000495073,0.000495073,0.000495073
21,436.789,0.61256,2.33016,0.06633,0.32902,1.29619,1,0.99307,0.995,0.84434,0.97631,0.96957,0.98117,0.41158,0.71334,2.72317,0.04287,0.37432,1.2253,0.000494542,0.000494542,0.000494542
22,456.465,0.61902,2.29056,0.06392,0.32415,1.30638,0.99305,0.99412,0.99488,0.8161,0.98115,0.95882,0.97782,0.37392,0.7892,2.80391,0.04363,0.40078,1.27509,0.000493985,0.000493985,0.000493985
23,475.987,0.61194,2.2695,0.07001,0.32445,1.29495,0.99849,0.97647,0.99359,0.8225,0.97443,0.95294,0.96664,0.36804,0.72449,2.78839,0.03858,0.38851,1.21903,0.000493401,0.000493401,0.000493401
