epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5169,1.27454,6.11804,0.3285,0.97798,2.12035,0.84413,0.76453,0.78277,0.29782,0.0208,0.00588,0.00122,0.00012,2.34028,7.81227,0.08013,1.20865,3.74479,0.0675243,0.000163194,0.000163194
2,60.9123,0.97191,4.10915,0.09159,0.4605,1.70777,0.98835,0.98824,0.99471,0.5035,0.46212,0.45485,0.28881,0.04761,1.69801,4.87882,0.03992,0.67373,2.33598,0.0343576,0.000329852,0.000329852
3,80.6528,0.97605,3.7986,0.08834,0.46964,1.69975,0.98836,0.99864,0.99488,0.54424,0.57547,0.57059,0.44184,0.08268,1.55927,4.58573,0.04959,0.57061,2.10231,0.00119092,0.000496473,0.000496473
4,100.031,0.96328,3.63324,0.08341,0.461,1.68452,1,0.98646,0.99494,0.62677,0.71408,0.70516,0.64727,0.1495,1.40818,4.18994,0.03972,0.55615,1.79637,0.000499877,0.000499877,0.000499877
5,119.358,0.90367,3.50317,0.07957,0.4522,1.62194,0.98818,0.98397,0.9946,0.70058,0.66716,0.64706,0.58189,0.13691,1.14065,4.56624,0.04718,0.5216,1.60635,0.000499781,0.000499781,0.000499781
6,138.786,0.86829,3.42972,0.08362,0.42963,1.59524,0.98899,0.98824,0.99488,0.65629,0.74252,0.74118,0.65258,0.14661,1.27134,3.99246,0.038,0.54425,1.71881,0.000499658,0.000499658,0.000499658
7,158.517,0.84554,3.24257,0.08172,0.42788,1.56823,1,0.99987,0.995,0.66043,0.81057,0.80588,0.74781,0.20473,1.29249,3.70895,0.04291,0.51548,1.77707,0.000499507,0.000499507,0.000499507
8,177.994,0.8066,3.04266,0.07481,0.40221,1.5191,0.98311,0.97059,0.98747,0.70516,0.83995,0.73529,0.77337,0.19966,1.05967,3.95829,0.04425,0.60145,1.53426,0.000499329,0.000499329,0.000499329
9,197.533,0.80617,2.85548,0.07375,0.40752,1.50943,0.99418,1,0.995,0.78262,0.90156,0.90588,0.8819,0.23933,0.83169,3.37486,0.0449,0.43893,1.37838,0.000499124,0.000499124,0.000499124
10,217.109,0.80481,2.88157,0.07108,0.40958,1.51985,1,0.99388,0.995,0.73923,0.8399,0.83529,0.81357,0.21189,1.00835,3.41937,0.04878,0.4623,1.4853,0.000498892,0.000498892,0.000498892
