model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.9365,0.1819,4.139,15.269,0.0274
old,1,Left_Ear,0.9757,0.0336,4.296,16.235,0.0000
old,2,Right_Ear,0.9675,0.0408,4.406,16.320,0.0000
old,3,Chest,0.9985,0.0021,2.628,9.400,0.0000
old,4,Mid_Back,0.9993,0.0012,2.854,10.687,0.0000
old,5,Hip,1.0000,0.0001,2.600,9.707,0.0000
old,6,LF_Elbow,0.9907,0.0543,3.560,13.591,0.0000
old,7,LF_Paw,0.9819,0.0544,5.837,26.102,0.0000
old,8,RF_Elbow,0.9990,0.0034,3.646,14.889,0.0000
old,9,RF_Paw,0.9887,0.0336,5.971,27.535,0.0000
old,10,LH_Knee,0.9633,0.1441,3.481,13.829,0.0188
old,11,LH_Paw,0.9718,0.1158,6.502,26.381,0.0092
old,12,RH_Knee,0.9937,0.0374,3.746,15.504,0.0000
old,13,RH_Paw,0.9903,0.0531,6.448,29.007,0.0040
old,14,Tail_Root,0.9987,0.0042,2.980,10.942,0.0000
old,15,Tail_Mid,0.9967,0.0109,3.831,12.983,0.0000
old,16,Tail_Tip,0.9415,0.1454,6.440,21.877,0.0109
new,0,Nose,0.9428,0.1641,4.246,15.661,0.0176
new,1,Left_Ear,0.9755,0.0357,4.198,15.442,0.0000
new,2,Right_Ear,0.9513,0.0917,4.354,15.994,0.0000
new,3,Chest,0.9985,0.0025,2.747,10.123,0.0000
new,4,Mid_Back,0.9992,0.0014,2.909,11.070,0.0000
new,5,Hip,0.9999,0.0017,2.668,10.279,0.0000
new,6,LF_Elbow,0.9739,0.1365,3.878,15.061,0.0162
new,7,LF_Paw,0.9673,0.1107,6.170,27.020,0.0127
new,8,RF_Elbow,0.9953,0.0249,3.715,15.186,0.0000
new,9,RF_Paw,0.9618,0.1160,5.970,27.073,0.0124
new,10,LH_Knee,0.9575,0.1776,3.501,13.591,0.0389
new,11,LH_Paw,0.9633,0.1551,6.615,26.739,0.0284
new,12,RH_Knee,0.9948,0.0389,3.644,15.158,0.0000
new,13,RH_Paw,0.9899,0.0569,6.653,29.587,0.0040
new,14,Tail_Root,0.9986,0.0121,3.291,12.476,0.0000
new,15,Tail_Mid,0.9936,0.0429,4.108,15.044,0.0000
new,16,Tail_Tip,0.9156,0.1871,6.699,22.365,0.0369
