model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.8791,0.2450,8.776,28.008,0.0795
old,1,Left_Ear,0.9731,0.0464,7.086,23.718,0.0000
old,2,Right_Ear,0.9493,0.0654,7.627,26.119,0.0000
old,3,Chest,0.9978,0.0042,4.406,15.409,0.0000
old,4,Mid_Back,0.9993,0.0009,4.116,12.993,0.0000
old,5,Hip,0.9996,0.0017,4.581,15.306,0.0000
old,6,LF_Elbow,0.9761,0.0692,4.525,15.484,0.0000
old,7,LF_Paw,0.9696,0.0647,6.387,23.818,0.0000
old,8,RF_Elbow,0.8533,0.3180,4.446,16.027,0.1381
old,9,RF_Paw,0.9241,0.1852,6.671,25.816,0.0637
old,10,LH_Knee,0.7916,0.3654,4.533,15.529,0.2782
old,11,LH_Paw,0.8306,0.3095,7.801,29.440,0.1904
old,12,RH_Knee,0.9084,0.2100,4.483,16.721,0.0193
old,13,RH_Paw,0.8886,0.2115,6.855,24.028,0.0105
old,14,Tail_Root,0.9759,0.0580,5.265,17.724,0.0006
old,15,Tail_Mid,0.9521,0.0931,6.597,22.617,0.0006
old,16,Tail_Tip,0.7724,0.3269,10.541,32.660,0.0940
new,0,Nose,0.8850,0.2384,8.525,26.475,0.0839
new,1,Left_Ear,0.9707,0.0655,7.091,24.632,0.0000
new,2,Right_Ear,0.9564,0.0777,7.678,25.171,0.0000
new,3,Chest,0.9980,0.0050,4.238,14.714,0.0000
new,4,Mid_Back,0.9996,0.0010,3.575,12.178,0.0000
new,5,Hip,0.9996,0.0007,3.855,14.483,0.0000
new,6,LF_Elbow,0.9667,0.1141,4.258,15.749,0.0227
new,7,LF_Paw,0.9557,0.0848,6.273,24.595,0.0000
new,8,RF_Elbow,0.8534,0.3074,4.764,17.950,0.1369
new,9,RF_Paw,0.9189,0.1862,6.780,26.322,0.0633
new,10,LH_Knee,0.7724,0.3547,4.389,16.078,0.2608
new,11,LH_Paw,0.8250,0.2996,6.238,23.400,0.1740
new,12,RH_Knee,0.8459,0.3122,3.914,15.195,0.0785
new,13,RH_Paw,0.8533,0.2819,5.747,24.575,0.0744
new,14,Tail_Root,0.9587,0.0878,4.753,17.006,0.0000
new,15,Tail_Mid,0.9647,0.0710,5.613,19.513,0.0000
new,16,Tail_Tip,0.7712,0.3394,8.455,28.278,0.1078
