model,behavior,video_name,frames,frames_with_cat,frames_without_cat,mean_confidence,std_confidence,mean_jitter_px,std_jitter_px,p95_jitter_px,max_jitter_px,missing_ratio,nose_missing_ratio,paw_missing_ratio,tail_missing_ratio
old,walk,screen_86.mp4,444,444,0,0.9849,0.0170,6.195,8.187,22.138,110.244,0.0000,0.1126,0.0000,0.0000
old,walk,walk_11.mp4,135,135,0,0.9910,0.0067,16.832,16.749,41.986,182.070,0.0000,0.0000,0.0000,0.0000
old,walk,walk_22.mp4,159,159,0,0.9825,0.0090,10.960,9.872,25.843,229.534,0.0000,0.0000,0.0000,0.0021
old,lick,calico_lick1.mp4,397,397,0,0.9670,0.0099,4.123,4.039,12.559,32.393,0.0000,0.0000,0.0000,0.3333
old,lick,grassland_white_lick2.mp4,241,241,0,0.9965,0.0016,2.690,2.426,7.770,19.235,0.0000,0.0000,0.0000,0.0000
old,lick,white_lick2.mp4,558,558,0,0.9891,0.0072,3.284,4.367,11.688,67.935,0.0000,0.0000,0.0000,0.0000
old,scratch,scratch4847.mp4,121,121,0,0.9822,0.0048,3.332,3.242,9.069,26.175,0.0000,0.0000,0.2500,0.0000
old,scratch,scratch578.mp4,159,158,1,0.9494,0.0490,6.679,10.271,21.345,116.124,0.0063,0.1266,0.4494,0.0000
old,shake,shake5772.mp4,343,343,0,0.9747,0.0182,12.922,17.883,45.970,228.754,0.0000,0.0000,0.0000,0.0000
old,shake,shake_3.mp4,121,121,0,0.9878,0.0099,10.399,13.240,35.794,169.804,0.0000,0.0000,0.0000,0.0000
old,stop,6月2日(1).mp4,167,167,0,0.9838,0.0123,5.068,6.301,14.811,94.399,0.0000,0.8743,0.0000,0.0080
old,stop,6月2日(19).mp4,455,455,0,0.8755,0.0253,4.475,5.134,14.518,59.367,0.0000,0.0000,0.0368,0.0593
old,stop,6月2日(2).mp4,230,230,0,0.8606,0.0352,4.039,9.012,15.999,142.749,0.0000,0.0000,0.1902,0.0391
old,stop,6月2日(3).mp4,283,283,0,0.9222,0.0223,4.699,11.927,16.515,177.360,0.0000,0.0000,0.0000,0.0024
new,walk,screen_86.mp4,444,444,0,0.9892,0.0144,5.759,7.594,19.848,80.875,0.0000,0.1171,0.0000,0.0000
new,walk,walk_11.mp4,135,135,0,0.9931,0.0084,16.668,15.979,40.207,189.673,0.0000,0.0000,0.0000,0.0000
new,walk,walk_22.mp4,159,159,0,0.9863,0.0045,11.178,9.564,26.225,137.842,0.0000,0.0000,0.0000,0.0000
new,lick,calico_lick1.mp4,397,397,0,0.9798,0.0104,3.772,3.943,11.921,38.873,0.0000,0.0000,0.0000,0.3333
new,lick,grassland_white_lick2.mp4,241,241,0,0.9941,0.0012,2.518,2.320,7.163,29.273,0.0000,0.0000,0.0000,0.0000
new,lick,white_lick2.mp4,558,558,0,0.9932,0.0035,2.733,3.808,10.206,52.850,0.0000,0.0000,0.0000,0.0000
new,scratch,scratch4847.mp4,121,121,0,0.9825,0.0018,2.474,2.531,6.128,33.535,0.0000,0.0000,0.2500,0.0000
new,scratch,scratch578.mp4,159,158,1,0.9619,0.0376,6.780,15.280,23.141,206.138,0.0063,0.1519,0.4620,0.0021
new,shake,shake5772.mp4,343,343,0,0.9544,0.0274,13.659,20.750,46.298,281.818,0.0000,0.0058,0.0000,0.0000
new,shake,shake_3.mp4,121,121,0,0.9800,0.0161,9.493,11.889,33.494,111.578,0.0000,0.0331,0.0000,0.0000
new,stop,6月2日(1).mp4,167,167,0,0.9865,0.0114,4.767,5.951,14.280,110.205,0.0000,0.8323,0.0000,0.0639
new,stop,6月2日(19).mp4,455,455,0,0.8928,0.0169,4.341,5.913,14.337,69.308,0.0000,0.0000,0.2445,0.0000
new,stop,6月2日(2).mp4,230,230,0,0.8678,0.0304,2.042,4.133,7.004,88.214,0.0000,0.0348,0.0859,0.0014
new,stop,6月2日(3).mp4,283,283,0,0.8744,0.0198,1.972,2.718,5.853,38.962,0.0000,0.0000,0.0486,0.1025
