Frame,Timestamp,Behavior,GCN_Confidence,Is_Still,Motion_Score
82,2026-06-17 16:52:35,walk,0.9983,NO,6.787771
83,2026-06-17 16:52:35,walk,0.9983,NO,2.723712
84,2026-06-17 16:52:35,walk,0.9984,NO,0.073890
85,2026-06-17 16:52:36,walk,0.9984,NO,5.213788
86,2026-06-17 16:52:36,walk,0.9985,NO,2.610015
87,2026-06-17 16:52:36,walk,0.9985,NO,0.078500
88,2026-06-17 16:52:36,walk,0.9982,NO,6.023785
89,2026-06-17 16:52:36,walk,0.9982,NO,3.193492
90,2026-06-17 16:52:36,walk,0.9982,NO,0.067843
91,2026-06-17 16:52:36,walk,0.9982,NO,5.876743
92,2026-06-17 16:52:36,walk,0.9982,NO,3.786110
93,2026-06-17 16:52:36,walk,0.9982,NO,0.078095
94,2026-06-17 16:52:36,walk,0.9986,NO,8.116440
95,2026-06-17 16:52:36,walk,0.9986,NO,3.550548
96,2026-06-17 16:52:36,walk,0.9988,NO,0.074668
97,2026-06-17 16:52:36,walk,0.9988,NO,7.152079
98,2026-06-17 16:52:36,walk,0.9979,NO,4.056808
99,2026-06-17 16:52:36,walk,0.9979,NO,0.086766
100,2026-06-17 16:52:36,walk,0.9976,NO,7.394858
101,2026-06-17 16:52:36,walk,0.9976,NO,3.317727
102,2026-06-17 16:52:36,walk,0.9975,NO,0.050261
103,2026-06-17 16:52:36,walk,0.9975,NO,3.127098
104,2026-06-17 16:52:36,walk,0.9950,NO,2.034740
105,2026-06-17 16:52:37,walk,0.9950,NO,0.066306
106,2026-06-17 16:52:37,walk,0.9939,NO,6.048723
107,2026-06-17 16:52:37,walk,0.9939,NO,2.888969
108,2026-06-17 16:52:37,walk,0.9935,NO,0.046648
109,2026-06-17 16:52:37,walk,0.9935,NO,6.189584
110,2026-06-17 16:52:37,walk,0.9949,NO,3.235845
111,2026-06-17 16:52:37,walk,0.9949,NO,0.037510
112,2026-06-17 16:52:37,walk,0.9947,NO,7.865223
113,2026-06-17 16:52:37,walk,0.9947,NO,3.080776
114,2026-06-17 16:52:37,walk,0.9962,NO,0.070619
115,2026-06-17 16:52:37,walk,0.9962,NO,4.691899
116,2026-06-17 16:52:37,walk,0.9925,NO,3.968991
117,2026-06-17 16:52:37,walk,0.9925,NO,0.054306
118,2026-06-17 16:52:37,walk,0.9919,NO,7.974387
119,2026-06-17 16:52:37,walk,0.9919,NO,3.863515
120,2026-06-17 16:52:37,walk,0.9871,NO,0.451699
121,2026-06-17 16:52:37,walk,0.9871,NO,8.157039
122,2026-06-17 16:52:38,walk,0.9552,NO,3.238656
123,2026-06-17 16:52:38,walk,0.9552,NO,0.021254
124,2026-06-17 16:52:38,walk,0.8753,NO,6.292072
125,2026-06-17 16:52:38,walk,0.8753,NO,2.981953
480,2026-06-17 16:52:58,walk,0.8991,NO,86.419716
481,2026-06-17 16:52:59,walk,0.8991,NO,0.743497
482,2026-06-17 16:52:59,walk,0.9430,NO,0.581621
483,2026-06-17 16:52:59,walk,0.9430,NO,0.638804
484,2026-06-17 16:52:59,walk,0.8936,NO,0.604044
485,2026-06-17 16:52:59,walk,0.8936,NO,3.721281
496,2026-06-17 16:52:59,stop,0.8661,NO,1.003064
497,2026-06-17 16:53:00,stop,0.8661,NO,0.518645
498,2026-06-17 16:53:00,stop,0.8566,NO,0.673021
499,2026-06-17 16:53:00,stop,0.8566,NO,3.683309
500,2026-06-17 16:53:00,stop,0.8554,NO,0.510875
501,2026-06-17 16:53:00,stop,0.8554,NO,4.014087
502,2026-06-17 16:53:00,stop,0.8448,NO,0.241536
503,2026-06-17 16:53:00,stop,0.8448,NO,0.211796
504,2026-06-17 16:53:00,stop,0.9023,NO,0.284108
505,2026-06-17 16:53:00,stop,0.9023,NO,0.273535
506,2026-06-17 16:53:00,stop,0.9071,NO,0.196190
507,2026-06-17 16:53:00,stop,0.9071,NO,0.194055
508,2026-06-17 16:53:00,stop,0.9200,NO,0.172569
509,2026-06-17 16:53:00,stop,0.9200,NO,0.384489
634,2026-06-17 16:53:08,scratch,0.8378,NO,0.047180
635,2026-06-17 16:53:08,scratch,0.8378,NO,0.215926
640,2026-06-17 16:53:08,lick,0.8589,NO,0.075505
641,2026-06-17 16:53:08,lick,0.8589,NO,0.331791
642,2026-06-17 16:53:08,lick,0.9281,NO,0.624785
643,2026-06-17 16:53:08,lick,0.9281,NO,0.272735
644,2026-06-17 16:53:08,lick,0.9831,NO,0.411671
645,2026-06-17 16:53:08,lick,0.9831,NO,0.548048
646,2026-06-17 16:53:09,lick,0.9821,NO,0.054145
647,2026-06-17 16:53:09,lick,0.9821,NO,0.408583
648,2026-06-17 16:53:09,lick,0.9823,NO,0.507691
649,2026-06-17 16:53:09,lick,0.9823,NO,0.391681
650,2026-06-17 16:53:09,lick,0.9825,NO,0.299648
651,2026-06-17 16:53:09,lick,0.9825,NO,0.301947
652,2026-06-17 16:53:09,lick,0.9829,NO,0.041427
653,2026-06-17 16:53:09,lick,0.9829,NO,0.373005
654,2026-06-17 16:53:09,lick,0.9830,NO,0.490900
655,2026-06-17 16:53:09,lick,0.9830,NO,0.246991
656,2026-06-17 16:53:09,lick,0.9818,NO,0.362965
657,2026-06-17 16:53:09,lick,0.9818,NO,0.225438
1238,2026-06-17 16:53:47,shake,0.8854,NO,0.064523
1285,2026-06-17 16:53:50,stop,0.9107,NO,161.862727
1290,2026-06-17 16:53:50,walk,0.8348,NO,3.093622
1291,2026-06-17 16:53:50,walk,0.8348,NO,0.010295
1292,2026-06-17 16:53:50,walk,0.9055,NO,1.880918
1293,2026-06-17 16:53:50,walk,0.9055,NO,2.007686
1294,2026-06-17 16:53:50,walk,0.9473,NO,2.173526
1295,2026-06-17 16:53:50,walk,0.9473,NO,2.484987
1296,2026-06-17 16:53:50,walk,0.9758,NO,0.057086
1297,2026-06-17 16:53:50,walk,0.9758,NO,3.319383
1298,2026-06-17 16:53:50,walk,0.9883,NO,2.590475
1299,2026-06-17 16:53:51,walk,0.9883,NO,3.667124
1300,2026-06-17 16:53:51,walk,0.9600,NO,2.913196
1301,2026-06-17 16:53:51,walk,0.9600,NO,0.000000
1302,2026-06-17 16:53:51,walk,0.9736,NO,3.752229
1303,2026-06-17 16:53:51,walk,0.9736,NO,2.467593
1304,2026-06-17 16:53:51,walk,0.9841,NO,2.840112
1305,2026-06-17 16:53:51,walk,0.9841,NO,3.889185
1306,2026-06-17 16:53:51,walk,0.9872,NO,0.076592
1307,2026-06-17 16:53:51,walk,0.9872,NO,3.093605
1308,2026-06-17 16:53:51,walk,0.9932,NO,1.726307
1309,2026-06-17 16:53:51,walk,0.9932,NO,2.681863
1310,2026-06-17 16:53:51,walk,0.9950,NO,3.818030
1311,2026-06-17 16:53:51,walk,0.9950,NO,0.027641
1312,2026-06-17 16:53:51,walk,0.9960,NO,3.625348
1313,2026-06-17 16:53:51,walk,0.9960,NO,1.548392
1314,2026-06-17 16:53:52,walk,0.9958,NO,2.699015
1344,2026-06-17 16:53:53,walk,0.9561,NO,11.691039
1345,2026-06-17 16:53:54,walk,0.9561,NO,2.854663
1346,2026-06-17 16:53:54,walk,0.9684,NO,0.044220
1347,2026-06-17 16:53:54,walk,0.9684,NO,3.928395
1348,2026-06-17 16:53:54,walk,0.9745,NO,5.313934
1349,2026-06-17 16:53:54,walk,0.9745,NO,3.870068
1350,2026-06-17 16:53:54,walk,0.9787,NO,3.035075
1351,2026-06-17 16:53:54,walk,0.9787,NO,0.167569
1352,2026-06-17 16:53:54,walk,0.9866,NO,2.929714
1353,2026-06-17 16:53:54,walk,0.9866,NO,2.067107
1354,2026-06-17 16:53:54,walk,0.9887,NO,2.352972
1380,2026-06-17 16:53:56,walk,0.9936,NO,75.278706
1381,2026-06-17 16:53:56,walk,0.9936,NO,0.779089
1382,2026-06-17 16:53:56,walk,0.9883,NO,1.914577
1383,2026-06-17 16:53:56,walk,0.9883,NO,0.604763
1384,2026-06-17 16:53:56,walk,0.9875,NO,0.061951
1385,2026-06-17 16:53:56,walk,0.9875,NO,1.974334
1386,2026-06-17 16:53:56,walk,0.9842,NO,0.784371
1387,2026-06-17 16:53:56,walk,0.9842,NO,1.642465
1388,2026-06-17 16:53:56,walk,0.9660,NO,0.868073
1389,2026-06-17 16:53:56,walk,0.9660,NO,0.086434
1390,2026-06-17 16:53:56,walk,0.9313,NO,1.667012
1391,2026-06-17 16:53:56,walk,0.9313,NO,0.793147
1392,2026-06-17 16:53:56,walk,0.8497,NO,0.746306
1393,2026-06-17 16:53:57,walk,0.8497,NO,0.611900
1396,2026-06-17 16:53:57,lick,0.9919,NO,0.668976
1397,2026-06-17 16:53:57,lick,0.9919,NO,0.630207
1398,2026-06-17 16:53:57,lick,0.9937,NO,0.796393
1399,2026-06-17 16:53:57,lick,0.9937,NO,0.042194
