frame_idx,timestamp_sec,detected,body_scale_px,active_kpts,mean_kpt_conf,displacement_px,activity_value,activity_score,abnormal,behavior_id,behavior_label,gcn_confidence
0,0.000,1,0.00,17,0.9861,0.0000,0,0,0,-1,LOW CONF,0.0000
1,0.020,1,577.83,17,0.9870,5.2466,26,13,1,-1,LOW CONF,0.0000
2,0.040,1,573.93,17,0.9880,5.2145,26,17,1,-1,LOW CONF,0.0000
3,0.060,1,584.17,17,0.9887,5.8334,29,20,1,-1,LOW CONF,0.0000
4,0.080,1,586.04,17,0.9885,4.5122,22,21,1,-1,LOW CONF,0.0000
5,0.100,1,587.18,17,0.9875,5.0388,25,21,1,-1,LOW CONF,0.0000
6,0.120,1,589.33,17,0.9879,5.9225,29,22,1,-1,LOW CONF,0.0000
7,0.140,1,591.49,17,0.9875,4.7866,23,22,1,-1,LOW CONF,0.0000
8,0.160,1,592.96,17,0.9879,5.6638,28,23,1,-1,LOW CONF,0.0000
9,0.180,1,587.02,17,0.9893,8.1115,40,25,1,-1,LOW CONF,0.0000
10,0.200,1,591.73,17,0.9901,4.7861,23,25,1,-1,LOW CONF,0.0000
11,0.220,1,597.84,17,0.9888,6.0597,30,25,1,-1,LOW CONF,0.0000
12,0.240,1,604.84,17,0.9893,8.2116,41,26,1,-1,LOW CONF,0.0000
13,0.260,1,612.43,17,0.9890,5.5355,27,26,1,-1,LOW CONF,0.0000
14,0.280,1,620.29,17,0.9881,5.5454,27,26,1,-1,LOW CONF,0.0000
15,0.300,1,616.37,17,0.9896,6.9542,34,27,1,-1,LOW CONF,0.0000
16,0.320,1,617.33,17,0.9918,6.1996,30,27,1,0,WALK,0.9697
17,0.340,1,619.54,17,0.9923,6.6575,33,27,1,0,WALK,0.9697
18,0.360,1,625.64,17,0.9928,6.9313,34,28,1,0,WALK,0.9903
19,0.380,1,623.83,17,0.9924,3.6089,18,27,1,0,WALK,0.9903
20,0.400,1,620.38,17,0.9927,3.9766,19,27,1,0,WALK,0.9937
21,0.420,1,620.46,17,0.9921,7.2432,36,27,1,0,WALK,0.9937
22,0.440,1,611.92,17,0.9925,6.1342,30,27,1,0,WALK,0.9954
23,0.460,1,610.18,17,0.9926,8.8033,44,28,1,0,WALK,0.9954
24,0.480,1,612.33,17,0.9934,10.0774,50,29,1,0,WALK,0.9929
25,0.500,1,619.95,17,0.9922,9.2433,46,30,1,0,WALK,0.9929
26,0.520,1,620.02,17,0.9926,9.0921,45,30,1,0,WALK,0.9936
27,0.540,1,618.47,17,0.9927,5.9210,29,30,1,0,WALK,0.9936
28,0.560,1,619.47,17,0.9929,4.6671,23,30,1,0,WALK,0.9929
29,0.580,1,624.20,17,0.9912,10.1432,50,31,1,0,WALK,0.9929
30,0.600,1,617.96,17,0.9910,8.3624,41,31,1,0,WALK,0.9877
