frame_idx,timestamp_sec,detected,body_scale_px,active_kpts,mean_kpt_conf,displacement_px,activity_value,activity_score,abnormal,behavior_id,behavior_label,gcn_confidence
0,0.000,1,0.00,17,0.9966,0.0000,0,0,0,-1,LOW CONF,0.0000
1,0.042,1,386.24,17,0.9968,1.9044,1,0,1,-1,LOW CONF,0.0000
2,0.083,1,385.45,17,0.9965,2.6217,2,1,1,-1,LOW CONF,0.0000
3,0.125,1,385.03,17,0.9968,2.4299,3,2,1,-1,LOW CONF,0.0000
4,0.167,1,385.40,17,0.9969,0.8461,2,2,1,-1,LOW CONF,0.0000
5,0.208,1,384.78,17,0.9970,0.8988,2,2,1,-1,LOW CONF,0.0000
6,0.250,1,384.84,17,0.9970,0.4037,1,2,1,-1,LOW CONF,0.0000
7,0.292,1,384.60,17,0.9969,0.7952,1,2,1,-1,LOW CONF,0.0000
8,0.333,1,384.30,17,0.9968,0.8756,1,1,1,-1,LOW CONF,0.0000
9,0.375,1,383.75,17,0.9968,0.6301,1,1,1,-1,LOW CONF,0.0000
10,0.417,1,383.75,17,0.9967,0.5239,1,1,1,-1,LOW CONF,0.0000
11,0.458,1,383.63,17,0.9967,0.2215,0,1,1,-1,LOW CONF,0.0000
12,0.500,1,384.12,17,0.9967,0.4123,0,1,1,-1,LOW CONF,0.0000
13,0.542,1,384.06,17,0.9967,0.5175,0,1,1,-1,LOW CONF,0.0000
14,0.583,1,383.63,17,0.9969,1.3223,1,1,1,-1,LOW CONF,0.0000
15,0.625,1,384.31,17,0.9968,1.3116,1,1,1,-1,LOW CONF,0.0000
16,0.667,1,385.34,17,0.9969,2.8086,2,1,1,1,LICK,0.8476
17,0.708,1,385.82,17,0.9970,2.7802,3,1,1,1,LICK,0.8476
18,0.750,1,385.15,17,0.9972,1.6447,3,1,1,1,LICK,0.8491
19,0.792,1,385.63,17,0.9972,0.2959,2,1,1,1,LICK,0.8491
20,0.833,1,385.52,17,0.9971,1.3916,2,1,1,1,LICK,0.8445
21,0.875,1,383.81,17,0.9966,3.1258,3,1,1,1,LICK,0.8445
22,0.917,1,382.78,17,0.9966,4.2284,5,2,1,1,LICK,0.8304
23,0.958,1,382.30,17,0.9966,0.3834,3,2,1,1,LICK,0.8304
24,1.000,1,382.78,17,0.9966,0.4109,2,2,1,1,LICK,0.8279
25,1.042,1,381.69,17,0.9966,0.4251,1,2,1,1,LICK,0.8279
26,1.083,1,381.33,17,0.9966,0.9304,1,2,1,1,LICK,0.8279
27,1.125,1,380.78,17,0.9966,1.2392,1,2,1,1,LICK,0.8279
28,1.167,1,381.39,17,0.9967,1.6538,2,2,1,1,LICK,0.8323
29,1.208,1,381.09,17,0.9967,2.7494,3,2,1,1,LICK,0.8323
30,1.250,1,382.78,17,0.9969,4.0585,4,2,1,1,LICK,0.8212
31,1.292,1,376.05,17,0.9973,7.8259,8,2,1,1,LICK,0.8212
32,1.333,1,374.66,17,0.9974,7.5001,10,2,1,-1,LOW CONF,0.7957
33,1.375,1,361.64,17,0.9961,11.3345,14,3,1,-1,LOW CONF,0.7957
