frame_idx,timestamp_sec,detected,body_scale_px,active_kpts,mean_kpt_conf,displacement_px,activity_value,activity_score,abnormal,behavior_id,behavior_label,gcn_confidence
0,0.000,1,0.00,17,0.9929,0.0000,0,0,0,-1,LOW CONF,0.0000
1,0.033,1,578.12,17,0.9937,10.2080,4,2,1,-1,LOW CONF,0.0000
2,0.067,1,577.94,17,0.9937,0.0882,2,2,0,-1,LOW CONF,0.0000
3,0.100,1,593.53,17,0.9941,18.1012,9,4,1,-1,LOW CONF,0.0000
4,0.133,1,589.74,17,0.9932,16.6693,13,6,1,-1,LOW CONF,0.0000
5,0.167,1,587.58,17,0.9935,1.2922,8,6,1,-1,LOW CONF,0.0000
6,0.200,1,603.01,17,0.9937,28.7669,17,8,1,-1,LOW CONF,0.0000
7,0.233,1,610.11,17,0.9931,19.7303,19,9,1,-1,LOW CONF,0.0000
8,0.267,1,610.11,17,0.9931,0.2667,11,9,1,-1,LOW CONF,0.0000
9,0.300,1,619.35,17,0.9912,24.9021,17,10,1,-1,LOW CONF,0.0000
10,0.333,1,626.56,17,0.9911,15.4047,16,11,1,-1,LOW CONF,0.0000
11,0.367,1,625.93,17,0.9912,0.1265,10,10,0,-1,LOW CONF,0.0000
12,0.400,1,618.84,17,0.9904,29.8539,19,11,1,-1,LOW CONF,0.0000
13,0.433,1,606.13,17,0.9904,21.0982,20,12,1,-1,LOW CONF,0.0000
14,0.467,1,606.13,17,0.9904,0.1084,12,12,0,-1,LOW CONF,0.0000
15,0.500,1,597.85,17,0.9914,35.9381,23,12,1,-1,LOW CONF,0.0000
16,0.533,1,589.10,17,0.9917,15.9389,21,13,1,0,WALK,0.9987
17,0.567,1,589.10,17,0.9917,0.1824,13,13,0,0,WALK,0.9987
18,0.600,1,574.46,17,0.9920,27.8138,20,13,1,0,WALK,0.9990
19,0.633,1,569.71,17,0.9925,8.9207,16,14,1,0,WALK,0.9990
20,0.667,1,568.98,17,0.9924,0.2531,10,13,1,0,WALK,0.9992
21,0.700,1,555.15,17,0.9934,19.4477,15,13,1,0,WALK,0.9992
22,0.733,1,540.80,17,0.9936,13.2110,16,14,1,0,WALK,0.9990
23,0.767,1,540.71,17,0.9935,0.2096,9,13,1,0,WALK,0.9990
24,0.800,1,522.55,17,0.9937,23.2772,17,13,1,0,WALK,0.9995
25,0.833,1,513.52,17,0.9937,9.2518,15,14,1,0,WALK,0.9995
26,0.867,1,513.52,17,0.9937,0.1506,9,13,0,0,WALK,0.9996
27,0.900,1,500.73,17,0.9941,27.5007,20,14,1,0,WALK,0.9996
28,0.933,1,500.43,17,0.9943,13.7060,19,14,1,0,WALK,0.9997
29,0.967,1,500.16,17,0.9942,0.2493,11,14,1,0,WALK,0.9997
30,1.000,1,491.99,17,0.9934,25.4938,21,14,1,0,WALK,0.9997
31,1.033,1,504.30,17,0.9925,14.6694,20,14,1,0,WALK,0.9997
32,1.067,1,504.40,17,0.9926,0.2764,12,14,1,0,WALK,0.9998
33,1.100,1,510.19,17,0.9903,26.2338,20,14,1,0,WALK,0.9998
34,1.133,1,516.66,17,0.9901,15.0558,20,14,1,0,WALK,0.9998
35,1.167,1,516.29,17,0.9901,0.1875,12,14,0,0,WALK,0.9998
36,1.200,1,547.08,17,0.9895,28.1201,20,14,1,0,WALK,0.9999
37,1.233,1,560.27,17,0.9894,12.3728,17,15,1,0,WALK,0.9999
38,1.267,1,560.21,17,0.9893,0.3506,10,14,1,0,WALK,0.9999
39,1.300,1,574.08,17,0.9891,16.0943,13,14,1,0,WALK,0.9999
40,1.333,1,576.23,17,0.9881,10.7694,13,14,1,0,WALK,0.9998
41,1.367,1,576.97,17,0.9880,0.1765,8,14,0,0,WALK,0.9998
42,1.400,1,570.85,17,0.9841,25.3360,16,14,1,0,WALK,0.9998
43,1.433,1,567.82,17,0.9819,14.9263,17,14,1,0,WALK,0.9998
44,1.467,1,567.75,17,0.9819,0.1746,10,14,0,0,WALK,0.9998
45,1.500,1,575.81,17,0.9809,26.0635,18,14,1,0,WALK,0.9998
46,1.533,1,571.21,17,0.9816,10.6646,15,14,1,0,WALK,0.9998
47,1.567,1,570.48,17,0.9815,0.2297,9,14,1,0,WALK,0.9998
48,1.600,1,552.69,17,0.9785,30.7670,20,14,1,0,WALK,0.9998
49,1.633,1,547.41,17,0.9775,15.4650,20,14,1,0,WALK,0.9998
50,1.667,1,547.41,17,0.9775,0.1434,12,14,0,0,WALK,0.9997
51,1.700,1,530.92,17,0.9826,25.9805,20,14,1,0,WALK,0.9997
52,1.733,1,528.71,17,0.9829,13.5415,19,15,1,0,WALK,0.9994
53,1.767,1,528.71,17,0.9829,0.2037,11,15,1,0,WALK,0.9994
54,1.800,1,512.41,17,0.9834,18.4417,16,15,1,0,WALK,0.9996
55,1.833,1,500.05,17,0.9843,9.0997,15,15,1,0,WALK,0.9996
