frame_idx,timestamp_sec,detected,body_scale_px,active_kpts,mean_kpt_conf,displacement_px,activity_value,activity_score,abnormal,behavior_id,behavior_label,gcn_confidence
0,0.000,1,0.00,17,0.9962,0.0000,0,0,0,-1,LOW CONF,0.0000
1,0.033,1,418.16,17,0.9962,19.6650,12,6,1,-1,LOW CONF,0.0000
2,0.067,1,449.21,17,0.9956,19.7314,18,10,1,-1,LOW CONF,0.0000
3,0.100,1,463.22,17,0.9957,9.3773,16,12,1,-1,LOW CONF,0.0000
4,0.133,1,441.34,17,0.9949,16.2324,20,13,1,-1,LOW CONF,0.0000
5,0.167,1,442.39,17,0.9943,11.3391,18,14,1,-1,LOW CONF,0.0000
6,0.200,1,484.11,17,0.9950,31.7932,27,16,1,-1,LOW CONF,0.0000
7,0.233,1,492.19,17,0.9942,6.2473,19,16,1,-1,LOW CONF,0.0000
8,0.267,1,497.26,17,0.9921,5.0623,14,16,1,-1,LOW CONF,0.0000
9,0.300,1,490.33,17,0.9929,9.6156,14,16,1,-1,LOW CONF,0.0000
10,0.333,1,498.06,17,0.9941,9.5385,13,16,1,-1,LOW CONF,0.0000
11,0.367,1,487.13,17,0.9944,10.7544,14,15,1,-1,LOW CONF,0.0000
12,0.400,1,491.57,17,0.9952,9.0949,13,15,1,-1,LOW CONF,0.0000
13,0.433,1,488.95,17,0.9956,8.6423,12,15,1,-1,LOW CONF,0.0000
14,0.467,1,488.09,17,0.9951,4.8035,10,15,1,-1,LOW CONF,0.0000
15,0.500,1,490.48,17,0.9949,5.7196,9,14,1,-1,LOW CONF,0.0000
16,0.533,1,474.92,17,0.9950,16.0293,14,14,1,4,STOP,0.8057
17,0.567,1,468.55,17,0.9935,11.0875,15,14,1,4,STOP,0.8057
18,0.600,1,478.68,17,0.9930,9.0191,13,14,1,4,STOP,0.8376
19,0.633,1,476.58,17,0.9949,7.9354,12,14,1,4,STOP,0.8376
20,0.667,1,472.84,17,0.9948,5.0632,10,14,1,4,STOP,0.8213
21,0.700,1,458.15,17,0.9950,13.9865,14,14,1,4,STOP,0.8213
22,0.733,1,464.60,17,0.9956,4.6677,11,14,1,-1,LOW CONF,0.7990
23,0.767,1,467.92,17,0.9956,3.8221,8,14,1,-1,LOW CONF,0.7990
24,0.800,1,468.14,17,0.9955,7.1798,9,13,1,4,STOP,0.8076
25,0.833,1,472.56,17,0.9956,7.1285,9,13,1,4,STOP,0.8076
26,0.867,1,475.41,17,0.9957,5.9096,9,13,1,4,STOP,0.8228
27,0.900,1,475.90,17,0.9951,4.6646,8,13,1,4,STOP,0.8228
28,0.933,1,481.20,17,0.9954,6.4427,8,13,1,4,STOP,0.8164
29,0.967,1,469.35,17,0.9951,14.7543,13,13,1,4,STOP,0.8164
30,1.000,1,462.13,17,0.9947,6.1882,11,13,1,4,STOP,0.8172
31,1.033,1,464.41,17,0.9944,4.6740,9,13,1,4,STOP,0.8172
32,1.067,1,465.61,17,0.9947,3.5604,7,12,1,4,STOP,0.8217
33,1.100,1,477.84,17,0.9943,10.2660,10,12,1,4,STOP,0.8217
34,1.133,1,478.55,17,0.9953,6.4584,9,12,1,4,STOP,0.8239
35,1.167,1,480.01,17,0.9952,2.9459,7,12,1,4,STOP,0.8239
36,1.200,1,480.48,17,0.9952,2.9965,6,12,1,4,STOP,0.8245
37,1.233,1,481.91,17,0.9955,5.2996,6,12,1,4,STOP,0.8245
38,1.267,1,485.94,17,0.9955,2.7925,5,12,1,4,STOP,0.8252
39,1.300,1,487.58,17,0.9949,3.9325,5,11,1,4,STOP,0.8252
40,1.333,1,487.82,17,0.9949,3.4105,5,11,1,4,STOP,0.8329
41,1.367,1,481.55,17,0.9953,4.5020,5,11,1,4,STOP,0.8329
42,1.400,1,480.76,17,0.9956,4.4227,5,11,1,4,STOP,0.8340
43,1.433,1,479.07,17,0.9960,3.1288,5,11,1,4,STOP,0.8340
44,1.467,1,481.20,17,0.9959,3.1186,4,11,1,4,STOP,0.8292
45,1.500,1,483.50,17,0.9959,4.3248,5,11,1,4,STOP,0.8292
46,1.533,1,482.67,17,0.9963,3.6477,5,10,1,4,STOP,0.8239
47,1.567,1,484.34,17,0.9962,5.9627,6,10,1,4,STOP,0.8239
48,1.600,1,484.97,17,0.9960,4.9697,6,10,1,4,STOP,0.8077
49,1.633,1,490.19,17,0.9953,4.9822,6,10,1,4,STOP,0.8077
50,1.667,1,487.46,17,0.9947,3.6604,5,10,1,4,STOP,0.8048
51,1.700,1,474.66,17,0.9947,14.6437,11,10,1,4,STOP,0.8048
52,1.733,1,502.29,17,0.9943,20.2904,17,10,1,4,STOP,0.8086
53,1.767,1,500.56,17,0.9942,12.1058,17,10,1,4,STOP,0.8086
54,1.800,1,505.47,17,0.9930,9.4858,15,10,1,4,STOP,0.8078
55,1.833,1,505.49,17,0.9931,5.1317,11,10,1,4,STOP,0.8078
56,1.867,1,501.20,17,0.9927,6.9750,10,10,1,4,STOP,0.8030
57,1.900,1,498.37,17,0.9923,4.7989,9,10,1,4,STOP,0.8030
58,1.933,1,501.88,17,0.9879,8.1088,9,10,1,4,STOP,0.8068
59,1.967,1,503.92,17,0.9897,6.6104,9,10,1,4,STOP,0.8068
60,2.000,1,498.59,17,0.9922,17.9547,15,10,1,4,STOP,0.8242
61,2.033,1,501.99,17,0.9938,9.1075,13,10,1,4,STOP,0.8242
62,2.067,1,503.46,17,0.9950,7.8134,12,11,1,4,STOP,0.8293
63,2.100,1,506.30,17,0.9946,4.7289,9,10,1,4,STOP,0.8293
64,2.133,1,508.96,17,0.9937,3.6012,7,10,1,4,STOP,0.8354
65,2.167,1,498.37,17,0.9939,9.7600,10,10,1,4,STOP,0.8354
66,2.200,1,504.97,17,0.9933,11.3470,11,10,1,4,STOP,0.8252
67,2.233,1,497.75,17,0.9927,7.8477,11,10,1,4,STOP,0.8252
68,2.267,1,498.96,17,0.9935,5.2172,9,10,1,4,STOP,0.8055
69,2.300,1,495.02,17,0.9941,7.9948,10,10,1,4,STOP,0.8055
70,2.333,1,492.25,17,0.9946,5.6520,9,10,1,4,STOP,0.8175
71,2.367,1,495.81,17,0.9951,10.0477,10,10,1,4,STOP,0.8175
72,2.400,1,496.49,17,0.9952,5.5274,9,10,1,4,STOP,0.8230
73,2.433,1,491.78,17,0.9940,12.7147,12,10,1,4,STOP,0.8230
74,2.467,1,488.90,17,0.9947,5.0554,10,10,1,4,STOP,0.8207
75,2.500,1,487.52,17,0.9946,4.3024,8,10,1,4,STOP,0.8207
76,2.533,1,488.32,17,0.9953,6.8725,8,10,1,4,STOP,0.8025
77,2.567,1,498.48,17,0.9950,11.0051,11,10,1,4,STOP,0.8025
78,2.600,1,497.45,17,0.9953,4.8275,9,10,1,4,STOP,0.8137
79,2.633,1,503.94,17,0.9954,7.1774,9,10,1,4,STOP,0.8137
80,2.667,1,493.45,17,0.9945,8.9263,10,10,1,4,STOP,0.8177
81,2.700,1,494.89,17,0.9950,5.6197,9,10,1,4,STOP,0.8177
82,2.733,1,486.47,17,0.9947,10.5997,11,10,1,4,STOP,0.8103
83,2.767,1,483.50,17,0.9943,5.4139,9,10,1,4,STOP,0.8103
84,2.800,1,485.56,17,0.9939,7.6440,10,10,1,4,STOP,0.8281
85,2.833,1,489.59,17,0.9956,15.1770,14,10,1,4,STOP,0.8281
86,2.867,1,489.74,17,0.9945,8.4516,13,10,1,4,STOP,0.8478
87,2.900,1,489.00,17,0.9950,8.5316,12,10,1,4,STOP,0.8478
88,2.933,1,488.82,17,0.9947,3.6496,9,10,1,4,STOP,0.8494
89,2.967,1,485.76,17,0.9948,6.2940,9,10,1,4,STOP,0.8494
90,3.000,1,491.99,17,0.9952,4.0264,7,10,1,4,STOP,0.8593
91,3.033,1,495.64,17,0.9960,5.0539,7,10,1,4,STOP,0.8593
92,3.067,1,494.90,17,0.9957,5.1766,7,10,1,4,STOP,0.8491
93,3.100,1,494.42,17,0.9945,5.4040,7,10,1,4,STOP,0.8491
94,3.133,1,501.63,17,0.9930,12.5210,10,10,1,4,STOP,0.8528
95,3.167,1,505.39,17,0.9928,8.2283,10,10,1,4,STOP,0.8528
96,3.200,1,503.28,17,0.9928,8.1833,10,10,1,4,STOP,0.8486
97,3.233,1,505.73,17,0.9916,14.0706,13,10,1,4,STOP,0.8486
98,3.267,1,495.29,17,0.9903,7.8731,12,10,1,4,STOP,0.8438
99,3.300,1,507.93,17,0.9913,18.8537,17,10,1,4,STOP,0.8438
100,3.333,1,516.74,17,0.9885,14.3180,17,10,1,4,STOP,0.8207
101,3.367,1,509.10,17,0.9870,6.2481,14,10,1,4,STOP,0.8207
102,3.400,1,495.74,17,0.9884,19.8586,19,10,1,4,STOP,0.8195
103,3.433,1,489.27,17,0.9891,9.5062,16,10,1,4,STOP,0.8195
104,3.467,1,485.95,17,0.9902,12.5916,17,10,1,4,STOP,0.8247
105,3.500,1,498.70,17,0.9922,13.4747,17,10,1,4,STOP,0.8247
106,3.533,1,495.59,17,0.9949,8.6407,15,10,1,4,STOP,0.8165
107,3.567,1,480.14,17,0.9935,7.4024,13,10,1,4,STOP,0.8165
108,3.600,1,472.18,17,0.9898,20.6666,19,10,1,-1,LOW CONF,0.7966
109,3.633,1,464.72,17,0.9885,22.1415,24,10,1,-1,LOW CONF,0.7966
110,3.667,1,463.38,17,0.9892,20.9534,26,10,1,-1,LOW CONF,0.7334
111,3.700,1,478.47,17,0.9899,15.3979,24,10,1,-1,LOW CONF,0.7334
112,3.733,1,471.85,17,0.9922,20.2937,26,11,1,-1,LOW CONF,0.5729
113,3.767,1,480.41,17,0.9914,10.5687,21,11,1,-1,LOW CONF,0.5729
114,3.800,1,475.74,17,0.9920,5.4703,15,11,1,-1,LOW CONF,0.5247
115,3.833,1,470.79,17,0.9889,10.4386,15,11,1,-1,LOW CONF,0.5247
116,3.867,1,478.21,17,0.9916,21.9527,21,11,1,-1,LOW CONF,0.4595
117,3.900,1,476.30,17,0.9903,13.4123,20,11,1,-1,LOW CONF,0.4595
118,3.933,1,471.09,17,0.9898,11.1403,18,11,1,-1,LOW CONF,0.4569
119,3.967,1,459.75,17,0.9914,16.7739,21,11,1,-1,LOW CONF,0.4569
120,4.000,1,483.90,17,0.9912,20.1895,23,12,1,-1,LOW CONF,0.5740
121,4.033,1,477.65,17,0.9889,21.9066,26,12,1,-1,LOW CONF,0.5740
122,4.067,1,457.01,17,0.9862,21.2653,28,12,1,-1,LOW CONF,0.6641
123,4.100,1,472.35,17,0.9881,16.5465,26,12,1,-1,LOW CONF,0.6641
124,4.133,1,478.04,17,0.9919,20.1826,26,12,1,-1,LOW CONF,0.7467
125,4.167,1,490.61,17,0.9924,13.6233,23,12,1,-1,LOW CONF,0.7467
