frame_idx,timestamp_sec,detected,body_scale_px,active_kpts,mean_kpt_conf,displacement_px,activity_value,activity_score,abnormal,behavior_id,behavior_label,gcn_confidence
0,0.000,1,0.00,17,0.9973,0.0000,0,0,0,-1,LOW CONF,0.0000
1,0.033,1,95.00,17,0.9973,1.0506,2,1,1,-1,LOW CONF,0.0000
2,0.067,1,95.55,17,0.9973,0.3382,2,1,1,-1,LOW CONF,0.0000
3,0.100,1,95.85,17,0.9973,1.3632,5,2,1,-1,LOW CONF,0.0000
4,0.133,1,125.42,17,0.9976,26.6578,59,14,1,-1,LOW CONF,0.0000
5,0.167,1,171.74,17,0.9975,36.2293,82,25,1,-1,LOW CONF,0.0000
6,0.200,1,193.74,17,0.9971,15.6579,65,31,1,-1,LOW CONF,0.0000
7,0.233,1,176.32,17,0.9977,18.0815,70,36,1,-1,LOW CONF,0.0000
8,0.267,1,188.72,17,0.9976,14.9357,60,38,1,-1,LOW CONF,0.0000
9,0.300,1,199.46,17,0.9979,8.6537,45,39,1,-1,LOW CONF,0.0000
10,0.333,1,220.05,17,0.9982,13.0104,40,39,1,-1,LOW CONF,0.0000
11,0.367,1,220.26,17,0.9982,20.1949,48,40,1,-1,LOW CONF,0.0000
12,0.400,1,195.81,17,0.9972,32.9961,77,43,1,-1,LOW CONF,0.0000
13,0.433,1,170.15,17,0.9971,21.4957,87,46,1,-1,LOW CONF,0.0000
14,0.467,1,130.80,17,0.9968,36.5105,100,49,1,-1,LOW CONF,0.0000
15,0.500,1,105.61,17,0.9968,16.6377,100,53,1,-1,LOW CONF,0.0000
16,0.533,1,108.92,17,0.9973,13.5686,100,55,1,0,WALK,0.8948
17,0.567,1,81.84,17,0.9973,19.7675,100,58,1,0,WALK,0.8948
18,0.600,1,113.49,17,0.9970,63.5021,100,60,1,0,WALK,0.9514
19,0.633,1,108.27,17,0.9969,23.1794,100,62,1,0,WALK,0.9514
20,0.667,1,106.97,17,0.9982,34.2803,100,64,1,-1,LOW CONF,0.7961
21,0.700,1,120.35,17,0.9978,18.9982,100,66,1,-1,LOW CONF,0.7961
22,0.733,1,169.58,17,0.9980,44.5321,100,67,1,0,WALK,0.8658
23,0.767,1,195.37,17,0.9974,16.5021,92,68,1,0,WALK,0.8658
24,0.800,1,170.48,17,0.9967,22.4671,98,69,1,-1,LOW CONF,0.5795
25,0.833,1,235.81,17,0.9972,43.6635,92,70,1,-1,LOW CONF,0.5795
26,0.867,1,283.96,17,0.9972,35.4670,79,70,1,3,SHAKE,0.8476
27,0.900,1,278.94,17,0.9975,18.3568,65,70,1,3,SHAKE,0.8476
28,0.933,1,266.10,17,0.9979,11.9532,53,70,1,3,SHAKE,0.9658
29,0.967,1,242.30,17,0.9976,13.7798,50,69,1,3,SHAKE,0.9658
30,1.000,1,212.51,17,0.9974,25.9349,67,69,1,3,SHAKE,0.9664
31,1.033,1,135.07,17,0.9970,35.2265,100,70,1,3,SHAKE,0.9664
32,1.067,1,85.34,17,0.9968,24.7862,100,71,1,3,SHAKE,0.8377
33,1.100,1,76.30,17,0.9978,40.4675,100,72,1,3,SHAKE,0.8377
34,1.133,1,87.59,17,0.9979,27.0118,100,73,1,0,WALK,0.9435
35,1.167,1,97.00,17,0.9976,32.6568,100,73,1,0,WALK,0.9435
36,1.200,1,146.89,17,0.9978,57.9660,100,74,1,0,WALK,0.9657
37,1.233,1,199.28,17,0.9979,21.1507,100,75,1,0,WALK,0.9657
38,1.267,1,210.26,17,0.9976,16.1529,84,75,1,0,WALK,0.9702
39,1.300,1,211.11,17,0.9972,12.8874,66,75,1,0,WALK,0.9702
40,1.333,1,176.94,17,0.9977,28.7140,90,75,1,0,WALK,0.9884
41,1.367,1,206.74,17,0.9971,19.3777,71,75,1,0,WALK,0.9884
42,1.400,1,215.78,17,0.9972,6.1086,48,74,1,0,WALK,0.9913
43,1.433,1,211.55,17,0.9968,15.4688,49,74,1,0,WALK,0.9913
44,1.467,1,171.69,17,0.9971,24.3149,74,74,1,0,WALK,0.9785
45,1.500,1,64.66,17,0.9978,93.1058,100,74,1,0,WALK,0.9785
46,1.533,1,60.81,17,0.9976,49.1848,100,75,1,0,WALK,0.9332
47,1.567,1,58.52,17,0.9976,16.4006,100,75,1,0,WALK,0.9332
48,1.600,1,121.63,17,0.9975,28.8588,100,76,1,0,WALK,0.8617
49,1.633,1,148.72,17,0.9975,13.2932,100,76,1,0,WALK,0.8617
50,1.667,1,143.66,17,0.9972,13.1382,94,77,1,0,WALK,0.8687
51,1.700,1,127.71,17,0.9978,27.9007,100,77,1,0,WALK,0.8687
52,1.733,1,137.28,17,0.9978,15.9706,99,78,1,-1,LOW CONF,0.5095
