frame_idx,timestamp_sec,detected,body_scale_px,active_kpts,mean_kpt_conf,displacement_px,activity_value,activity_score,abnormal,behavior_id,behavior_label,gcn_confidence
0,0.000,1,0.00,17,0.9819,0.0000,0,0,0,-1,LOW CONF,0.0000
1,0.033,1,90.34,17,0.9789,26.5550,78,39,1,-1,LOW CONF,0.0000
2,0.067,1,89.02,17,0.9732,29.9333,100,59,1,-1,LOW CONF,0.0000
3,0.100,1,89.86,17,0.9710,15.1937,100,70,1,-1,LOW CONF,0.0000
4,0.134,1,73.31,17,0.9721,10.9459,100,76,1,-1,LOW CONF,0.0000
5,0.167,1,69.20,17,0.9695,12.1082,100,80,1,-1,LOW CONF,0.0000
6,0.201,1,29.21,17,0.9802,22.1192,100,83,1,-1,LOW CONF,0.0000
7,0.234,1,7.27,17,0.9836,25.9492,100,85,1,-1,LOW CONF,0.0000
8,0.268,0,0.00,0,0.0000,0.0000,0,75,0,-1,LOW CONF,0.0000
9,0.301,0,0.00,0,0.0000,0.0000,0,68,0,-1,LOW CONF,0.0000
10,0.334,0,0.00,0,0.0000,0.0000,0,62,0,-1,LOW CONF,0.0000
11,0.368,0,0.00,0,0.0000,0.0000,0,56,0,-1,LOW CONF,0.0000
12,0.401,0,0.00,0,0.0000,0.0000,0,52,0,-1,LOW CONF,0.0000
13,0.435,0,0.00,0,0.0000,0.0000,0,48,0,-1,LOW CONF,0.0000
14,0.468,0,0.00,0,0.0000,0.0000,0,45,0,-1,LOW CONF,0.0000
15,0.502,0,0.00,0,0.0000,0.0000,0,42,0,-1,LOW CONF,0.0000
16,0.535,1,0.00,16,0.9552,0.0000,100,46,0,-1,LOW CONF,0.0000
17,0.569,0,0.00,0,0.0000,0.0000,0,43,0,-1,LOW CONF,0.0000
18,0.602,0,0.00,0,0.0000,0.0000,0,41,0,-1,LOW CONF,0.0000
19,0.635,0,0.00,0,0.0000,0.0000,0,39,0,-1,LOW CONF,0.0000
20,0.669,0,0.00,0,0.0000,0.0000,0,37,0,-1,LOW CONF,0.0000
21,0.702,0,0.00,0,0.0000,0.0000,0,35,0,-1,LOW CONF,0.0000
22,0.736,0,0.00,0,0.0000,0.0000,0,34,0,-1,LOW CONF,0.0000
23,0.769,0,0.00,0,0.0000,0.0000,0,32,0,-1,LOW CONF,0.0000
24,0.803,0,0.00,0,0.0000,0.0000,0,31,0,-1,LOW CONF,0.0000
25,0.836,0,0.00,0,0.0000,0.0000,0,30,0,-1,LOW CONF,0.0000
26,0.870,0,0.00,0,0.0000,0.0000,0,29,0,-1,LOW CONF,0.0000
27,0.903,0,0.00,0,0.0000,0.0000,0,28,0,-1,LOW CONF,0.0000
28,0.936,0,0.00,0,0.0000,0.0000,0,27,0,-1,LOW CONF,0.0000
29,0.970,0,0.00,0,0.0000,0.0000,0,26,0,-1,LOW CONF,0.0000
30,1.003,0,0.00,0,0.0000,0.0000,0,25,0,-1,LOW CONF,0.0000
31,1.037,0,0.00,0,0.0000,0.0000,0,24,0,-1,LOW CONF,0.0000
32,1.070,0,0.00,0,0.0000,0.0000,0,24,0,-1,LOW CONF,0.0000
33,1.104,0,0.00,0,0.0000,0.0000,0,23,0,-1,LOW CONF,0.0000
34,1.137,0,0.00,0,0.0000,0.0000,0,22,0,-1,LOW CONF,0.0000
35,1.171,0,0.00,0,0.0000,0.0000,0,22,0,-1,LOW CONF,0.0000
