metric,104_best_model,106_best_model,best,delta,primary
overall_accuracy,0.8993,0.8924,104_best_model,0.0069,YES
overall_top2_accuracy,0.9172,0.9139,104_best_model,0.0033,
overall_macro_f1,0.8652,0.8594,104_best_model,0.0059,
overall_event_det_rate_ratio,1.0000,1.0000,=,0.0000,
overall_event_det_rate_prob,0.9333,0.9333,=,0.0000,

walk_accuracy,0.9539,0.9334,104_best_model,0.0205,YES
walk_event_rate,1.0000,1.0000,=,0.0000,
walk_top2_accuracy,0.9949,0.9966,106_best_model,0.0017,
walk_avg_true_prob,0.9505,0.9253,104_best_model,0.0252,
walk_max_true_prob,0.9999,0.9999,=,0.0000,
walk_prob_event_rate,1.0000,1.0000,=,0.0000,
walk_n_videos_detected,4/4,4/4,-,-
walk_prob_videos_detected,4/4,4/4,-,-
walk_n_correct,559,547,-,-
walk_n_windows,586,586,-,-

lick_accuracy,1.0000,1.0000,=,0.0000,YES
lick_event_rate,1.0000,1.0000,=,0.0000,
lick_top2_accuracy,1.0000,1.0000,=,0.0000,
lick_avg_true_prob,0.8918,0.8756,104_best_model,0.0161,
lick_max_true_prob,0.9748,0.9758,106_best_model,0.0010,
lick_prob_event_rate,1.0000,1.0000,=,0.0000,
lick_n_videos_detected,5/5,5/5,-,-
lick_prob_videos_detected,5/5,5/5,-,-
lick_n_correct,311,311,-,-
lick_n_windows,311,311,-,-

scratch_accuracy,0.5455,0.5424,104_best_model,0.0030,YES
scratch_event_rate,1.0000,1.0000,=,0.0000,
scratch_top2_accuracy,0.5909,0.5727,104_best_model,0.0182,
scratch_avg_true_prob,0.5373,0.5365,=,0.0008,
scratch_max_true_prob,0.9996,0.9997,=,0.0001,
scratch_prob_event_rate,1.0000,1.0000,=,0.0000,
scratch_n_videos_detected,5/5,5/5,-,-
scratch_prob_videos_detected,5/5,5/5,-,-
scratch_n_correct,180,179,-,-
scratch_n_windows,330,330,-,-

shake_accuracy,1.0000,1.0000,=,0.0000,YES
shake_event_rate,1.0000,1.0000,=,0.0000,
shake_top2_accuracy,1.0000,1.0000,=,0.0000,
shake_avg_true_prob,0.9995,0.9988,=,0.0008,
shake_max_true_prob,0.9999,0.9998,=,0.0001,
shake_prob_event_rate,0.6667,0.6667,=,0.0000,
shake_n_videos_detected,6/6,6/6,-,-
shake_prob_videos_detected,4/6,4/6,-,-
shake_n_correct,36,36,-,-
shake_n_windows,36,36,-,-

stop_accuracy,0.9792,0.9792,=,0.0000,YES
stop_event_rate,1.0000,1.0000,=,0.0000,
stop_top2_accuracy,1.0000,1.0000,=,0.0000,
stop_avg_true_prob,0.9011,0.8910,104_best_model,0.0101,
stop_max_true_prob,0.9928,0.9941,106_best_model,0.0013,
stop_prob_event_rate,1.0000,1.0000,=,0.0000,
stop_n_videos_detected,7/7,7/7,-,-
stop_prob_videos_detected,7/7,7/7,-,-
stop_n_correct,611,611,-,-
stop_n_windows,624,624,-,-

