metric,116_xy_conf_v_bone_T16_att_on,118_best_model,best,delta,primary
overall_accuracy,0.8195,0.8286,118_best_model,0.0091,YES
overall_top2_accuracy,0.8625,0.8762,118_best_model,0.0137,
overall_macro_f1,0.7802,0.7857,118_best_model,0.0055,
overall_event_det_rate_ratio,1.0000,1.0000,=,0.0000,
overall_event_det_rate_prob,1.0000,1.0000,=,0.0000,

walk_accuracy,0.9466,0.9517,118_best_model,0.0051,YES
walk_event_rate,1.0000,1.0000,=,0.0000,
walk_top2_accuracy,1.0000,1.0000,=,0.0000,
walk_avg_true_prob,0.9345,0.9483,118_best_model,0.0138,
walk_max_true_prob,0.9999,0.9998,=,0.0001,
walk_prob_event_rate,1.0000,1.0000,=,0.0000,
walk_n_videos_detected,4/4,4/4,-,-
walk_prob_videos_detected,4/4,4/4,-,-
walk_n_correct,372,374,-,-
walk_n_windows,393,393,-,-

lick_accuracy,1.0000,1.0000,=,0.0000,YES
lick_event_rate,1.0000,1.0000,=,0.0000,
lick_top2_accuracy,1.0000,1.0000,=,0.0000,
lick_avg_true_prob,0.8677,0.8198,116_xy_conf_v_bone_T16_att_on,0.0480,
lick_max_true_prob,0.9552,0.9653,118_best_model,0.0101,
lick_prob_event_rate,1.0000,1.0000,=,0.0000,
lick_n_videos_detected,5/5,5/5,-,-
lick_prob_videos_detected,5/5,5/5,-,-
lick_n_correct,209,209,-,-
lick_n_windows,209,209,-,-

scratch_accuracy,0.5605,0.5291,116_xy_conf_v_bone_T16_att_on,0.0314,YES
scratch_event_rate,1.0000,1.0000,=,0.0000,
scratch_top2_accuracy,0.6323,0.5874,116_xy_conf_v_bone_T16_att_on,0.0448,
scratch_avg_true_prob,0.5551,0.5183,116_xy_conf_v_bone_T16_att_on,0.0368,
scratch_max_true_prob,0.9997,0.9992,=,0.0005,
scratch_prob_event_rate,1.0000,1.0000,=,0.0000,
scratch_n_videos_detected,5/5,5/5,-,-
scratch_prob_videos_detected,5/5,5/5,-,-
scratch_n_correct,125,118,-,-
scratch_n_windows,223,223,-,-

shake_accuracy,0.3804,0.3587,116_xy_conf_v_bone_T16_att_on,0.0217,YES
shake_event_rate,1.0000,1.0000,=,0.0000,
shake_top2_accuracy,0.6848,0.7935,118_best_model,0.1087,
shake_avg_true_prob,0.3826,0.3636,116_xy_conf_v_bone_T16_att_on,0.0190,
shake_max_true_prob,0.9999,1.0000,=,0.0001,
shake_prob_event_rate,1.0000,1.0000,=,0.0000,
shake_n_videos_detected,6/6,6/6,-,-
shake_prob_videos_detected,6/6,6/6,-,-
shake_n_correct,70,66,-,-
shake_n_windows,184,184,-,-

stop_accuracy,0.9405,0.9929,118_best_model,0.0524,YES
stop_event_rate,1.0000,1.0000,=,0.0000,
stop_top2_accuracy,0.9952,1.0000,118_best_model,0.0048,
stop_avg_true_prob,0.8093,0.9568,118_best_model,0.1476,
stop_max_true_prob,0.9697,0.9978,118_best_model,0.0281,
stop_prob_event_rate,1.0000,1.0000,=,0.0000,
stop_n_videos_detected,7/7,7/7,-,-
stop_prob_videos_detected,7/7,7/7,-,-
stop_n_correct,395,417,-,-
stop_n_windows,420,420,-,-

