class,video,122_best_model_accuracy,124_best_model_accuracy,122_best_model_n_windows,124_best_model_n_windows,122_best_model_max_true_prob,124_best_model_max_true_prob,122_best_model_event_detected,124_best_model_event_detected
walk,7月7日 (8)(1).mp4,0.9730,0.9730,37,37,0.9990,0.9993,YES,YES
walk,7月7日 (8)(3).mp4,1.0000,1.0000,62,62,0.9999,0.9999,YES,YES
walk,7月7日 (8).mp4,1.0000,0.9259,27,27,0.9999,0.9996,YES,YES
lick,7月3日(1).mp4,1.0000,1.0000,40,40,0.9585,0.9450,YES,YES
lick,7月3日(2).mp4,1.0000,1.0000,47,47,0.9848,0.9770,YES,YES
lick,7月3日(3).mp4,1.0000,1.0000,36,36,0.9460,0.9481,YES,YES
lick,7月3日(4).mp4,1.0000,1.0000,44,44,0.9531,0.9558,YES,YES
lick,7月3日.mp4,1.0000,1.0000,42,42,0.9752,0.9815,YES,YES
scratch,7月3日 (2)(2).mp4,0.3750,0.3750,32,32,0.9982,0.9987,YES,YES
scratch,7月3日 (2)(4).mp4,0.4884,0.4884,43,43,0.9981,0.9989,YES,YES
scratch,7月3日 (2)(1).mp4,0.5532,0.5532,47,47,0.9983,0.9991,YES,YES
scratch,7月3日 (2)(3).mp4,0.6170,0.6170,47,47,0.9988,0.9994,YES,YES
scratch,7月3日 (2).mp4,0.6296,0.6296,54,54,0.9984,0.9991,YES,YES
shake,7月7日 (5)(2).mp4,0.3214,0.3214,28,28,0.9999,0.9997,YES,YES
shake,7月7日 (5).mp4,0.3529,0.3529,34,34,1.0000,1.0000,YES,YES
shake,7月7日 (5)(4).mp4,0.3750,0.3750,32,32,1.0000,1.0000,YES,YES
shake,7月7日 (5)(3).mp4,0.3793,0.3103,29,29,0.9993,0.9992,YES,YES
shake,7月7日 (5)(5).mp4,0.3871,0.3871,31,31,0.9995,0.9995,YES,YES
shake,7月7日 (5)(1).mp4,0.4000,0.4000,30,30,1.0000,0.9999,YES,YES
stop,7月7日 (8).mp4,0.4444,0.5833,36,36,0.9895,0.9928,YES,YES
stop,7月7日 (8)(5).mp4,0.4694,0.4694,98,98,0.9869,0.9926,YES,YES
stop,7月7日 (8)(2).mp4,1.0000,1.0000,12,12,0.9830,0.9892,YES,YES
