class,video,124_best_model[V14]_accuracy,125_best_model[V17]_accuracy,124_best_model[V14]_n_windows,125_best_model[V17]_n_windows,124_best_model[V14]_max_true_prob,125_best_model[V17]_max_true_prob,124_best_model[V14]_event_detected,125_best_model[V17]_event_detected
walk,7月7日 (8).mp4,0.9259,0.9630,27,27,0.9996,0.9976,YES,YES
walk,7月7日 (8)(1).mp4,0.9730,1.0000,37,37,0.9993,0.9995,YES,YES
walk,7月7日 (8)(3).mp4,1.0000,1.0000,62,62,0.9999,0.9998,YES,YES
lick,7月3日(1).mp4,1.0000,1.0000,40,40,0.9450,0.9070,YES,YES
lick,7月3日(2).mp4,1.0000,1.0000,47,47,0.9770,0.9260,YES,YES
lick,7月3日(3).mp4,1.0000,1.0000,36,36,0.9481,0.9315,YES,YES
lick,7月3日(4).mp4,1.0000,1.0000,44,44,0.9558,0.9093,YES,YES
lick,7月3日.mp4,1.0000,1.0000,42,42,0.9815,0.9687,YES,YES
scratch,7月3日 (2)(2).mp4,0.3750,0.3750,32,32,0.9987,0.9989,YES,YES
scratch,7月3日 (2)(4).mp4,0.4884,0.4651,43,43,0.9989,0.9994,YES,YES
scratch,7月3日 (2)(1).mp4,0.5532,0.5745,47,47,0.9991,0.9991,YES,YES
scratch,7月3日 (2)(3).mp4,0.6170,0.6383,47,47,0.9994,0.9994,YES,YES
scratch,7月3日 (2).mp4,0.6296,0.6296,54,54,0.9991,0.9994,YES,YES
shake,7月7日 (5)(3).mp4,0.3103,0.3448,29,29,0.9992,0.9987,YES,YES
shake,7月7日 (5)(2).mp4,0.3214,0.3214,28,28,0.9997,0.9998,YES,YES
shake,7月7日 (5).mp4,0.3529,0.3529,34,34,1.0000,1.0000,YES,YES
shake,7月7日 (5)(4).mp4,0.3750,0.3750,32,32,1.0000,1.0000,YES,YES
shake,7月7日 (5)(5).mp4,0.3871,0.3871,31,31,0.9995,0.9991,YES,YES
shake,7月7日 (5)(1).mp4,0.4000,0.4000,30,30,0.9999,1.0000,YES,YES
stop,7月7日 (8)(5).mp4,0.4694,0.4388,98,98,0.9926,0.9890,YES,YES
stop,7月7日 (8).mp4,0.5833,0.5278,36,36,0.9928,0.9897,YES,YES
stop,7月7日 (8)(2).mp4,1.0000,1.0000,12,12,0.9892,0.9839,YES,YES
