video_index,video_name,behavior,frame,time_sec,midback_offset_ratio,midback_angle,body_axis_score_jitter
1,7月7日 (8)(2),stop,16,0.533,0.2575226128101349,128.55692769486961,0.5889637441797362
1,7月7日 (8)(2),stop,18,0.6,0.2577359676361084,126.71600352788265,0.8829112438704954
1,7月7日 (8)(2),stop,20,0.667,0.2567882537841797,128.72622484456355,0.8823922005384475
1,7月7日 (8)(2),stop,22,0.733,0.25550922751426697,129.5166976638621,0.8823922005384475
1,7月7日 (8)(2),stop,24,0.8,0.2535565495491028,129.93579102577507,0.8551641783637507
1,7月7日 (8)(2),stop,26,0.867,0.25228172540664673,129.2787726969777,0.8551641783637507
1,7月7日 (8)(2),stop,28,0.933,0.25125962495803833,129.84241178422005,0.8551641783637507
1,7月7日 (8)(2),stop,30,1.0,0.250480055809021,129.3428531178457,1.0194282950173488
1,7月7日 (8)(2),stop,32,1.067,0.25020739436149597,128.50193524632164,1.0194282950173488
1,7月7日 (8)(2),stop,34,1.133,0.24913080036640167,128.99127266045843,1.0194282950173488
1,7月7日 (8)(2),stop,36,1.2,0.24849197268486023,130.0289767320101,0.9698610821999836
1,7月7日 (8)(2),stop,38,1.267,0.2477121651172638,129.8507742347039,0.9698610821999836
1,7月7日 (8)(2),stop,40,1.333,0.24802684783935547,129.9252761662159,0.9698610821999836
1,7月7日 (8)(2),stop,42,1.4,0.2484205961227417,129.405807808012,1.0283328677243588
1,7月7日 (8)(2),stop,44,1.467,0.24932178854942322,128.7802419487536,1.0283328677243588
1,7月7日 (8)(2),stop,46,1.533,0.25015801191329956,128.8093891967202,1.0283328677243588
1,7月7日 (8)(2),stop,48,1.6,0.25160038471221924,125.99187806993663,1.2245025671792433
1,7月7日 (8)(2),stop,50,1.667,0.25442010164260864,124.50516022132497,1.9696365225681234
