frame,bbox_cx,bbox_cy,bbox_dx,bbox_dy,bbox_disp
1,730.5000,568.1250,,,
2,733.8750,569.6250,3.3750,1.5000,3.6933
3,732.3750,568.8750,-1.5000,-0.7500,1.6771
4,731.2500,570.0938,-1.1250,1.2188,1.6586
5,729.0000,571.5938,-2.2500,1.5000,2.7042
6,729.3750,572.2500,0.3750,0.6562,0.7558
7,729.0000,573.0000,-0.3750,0.7500,0.8385
8,729.0000,574.1250,0.0000,1.1250,1.1250
9,728.2500,575.6250,-0.7500,1.5000,1.6771
10,727.5000,576.7500,-0.7500,1.1250,1.3521
11,728.2500,577.8750,0.7500,1.1250,1.3521
12,727.8750,577.8750,-0.3750,0.0000,0.3750
13,726.0000,579.0000,-1.8750,1.1250,2.1866
14,729.0000,579.0000,3.0000,0.0000,3.0000
15,731.2500,580.5000,2.2500,1.5000,2.7042
16,734.2500,582.8438,3.0000,2.3438,3.8070
17,733.5000,583.8750,-0.7500,1.0312,1.2751
18,733.5000,583.8750,0.0000,0.0000,0.0000
19,734.2500,586.4062,0.7500,2.5312,2.6400
20,731.6250,581.1562,-2.6250,-5.2500,5.8697
21,741.7500,615.6562,10.1250,34.5000,35.9551
22,730.5000,618.3750,-11.2500,2.7188,11.5739
23,723.7500,637.1250,-6.7500,18.7500,19.9280
24,723.7500,637.5000,0.0000,0.3750,0.3750
25,730.5000,639.8438,6.7500,2.3438,7.1453
26,714.0000,611.9062,-16.5000,-27.9375,32.4462
27,719.2500,625.5000,5.2500,13.5938,14.5723
28,709.5000,607.1250,-9.7500,-18.3750,20.8015
29,705.7500,609.0938,-3.7500,1.9688,4.2354
30,705.7500,609.0938,0.0000,0.0000,0.0000
31,714.3750,600.7500,8.6250,-8.3438,12.0004
32,717.7500,597.3750,3.3750,-3.3750,4.7730
33,730.8750,587.3438,13.1250,-10.0312,16.5194
34,747.7500,591.0000,16.8750,3.6562,17.2666
35,751.5000,568.1250,3.7500,-22.8750,23.1803
36,751.5000,568.1250,0.0000,0.0000,0.0000
37,751.5000,575.6250,0.0000,7.5000,7.5000
38,753.0000,582.7500,1.5000,7.1250,7.2812
39,755.6250,590.3438,2.6250,7.5938,8.0347
40,758.2500,597.3750,2.6250,7.0312,7.5053
41,761.2500,601.8750,3.0000,4.5000,5.4083
42,761.2500,601.5938,0.0000,-0.2812,0.2812
43,765.7500,606.0000,4.5000,4.4062,6.2980
44,771.0000,607.8750,5.2500,1.8750,5.5748
45,774.7500,607.1250,3.7500,-0.7500,3.8243
46,776.2500,606.0938,1.5000,-1.0312,1.8203
47,778.3125,607.5000,2.0625,1.4062,2.4963
48,778.3125,607.5000,0.0000,0.0000,0.0000
49,778.5000,608.3438,0.1875,0.8438,0.8643
50,777.1875,610.8750,-1.3125,2.5312,2.8513
51,777.0000,612.3750,-0.1875,1.5000,1.5117
52,777.1875,612.0938,0.1875,-0.2812,0.3380
53,776.8125,612.6562,-0.3750,0.5625,0.6760
54,776.8125,612.7500,0.0000,0.0938,0.0938
55,776.2500,612.0938,-0.5625,-0.6562,0.8643
56,774.0000,613.1250,-2.2500,1.0312,2.4751
57,772.5000,612.0000,-1.5000,-1.1250,1.8750
58,773.2500,613.1250,0.7500,1.1250,1.3521
59,771.0000,614.9062,-2.2500,1.7812,2.8697
60,771.0000,614.9062,0.0000,0.0000,0.0000
61,769.5000,615.8438,-1.5000,0.9375,1.7689
62,769.5000,619.5000,0.0000,3.6562,3.6562
63,768.0000,630.0000,-1.5000,10.5000,10.6066
64,769.3125,640.5000,1.3125,10.5000,10.5817
65,771.7500,652.5000,2.4375,12.0000,12.2451
66,771.7500,652.1250,0.0000,-0.3750,0.3750
67,781.5000,662.2500,9.7500,10.1250,14.0562
68,785.8125,663.7500,4.3125,1.5000,4.5659
69,792.0000,663.7500,6.1875,0.0000,6.1875
70,786.7500,664.1250,-5.2500,0.3750,5.2634
71,778.6875,665.2500,-8.0625,1.1250,8.1406
72,778.5000,665.2500,-0.1875,0.0000,0.1875
73,778.3125,666.7500,-0.1875,1.5000,1.5117
74,765.7500,664.5000,-12.5625,-2.2500,12.7624
75,748.1250,663.7500,-17.6250,-0.7500,17.6410
76,737.2500,663.0000,-10.8750,-0.7500,10.9008
77,732.7500,661.1250,-4.5000,-1.8750,4.8750
78,732.7500,661.5000,0.0000,0.3750,0.3750
79,729.0000,662.2500,-3.7500,0.7500,3.8243
80,728.2500,664.1250,-0.7500,1.8750,2.0194
81,727.5000,663.0000,-0.7500,-1.1250,1.3521
82,726.8438,664.5000,-0.6562,1.5000,1.6373
83,723.0000,661.5000,-3.8438,-3.0000,4.8759
84,723.3750,661.5000,0.3750,0.0000,0.3750
85,721.5000,661.1250,-1.8750,-0.3750,1.9121
86,721.5000,661.8750,0.0000,0.7500,0.7500
87,722.3438,663.0000,0.8438,1.1250,1.4062
88,725.3438,665.6250,3.0000,2.6250,3.9863
89,728.6250,664.8750,3.2812,-0.7500,3.3659
90,728.6250,664.8750,0.0000,0.0000,0.0000
91,729.6562,665.2500,1.0312,0.3750,1.0973
92,730.5938,666.7500,0.9375,1.5000,1.7689
93,733.4062,666.7500,2.8125,0.0000,2.8125
94,734.2500,665.2500,0.8438,-1.5000,1.7210
95,734.9062,663.7500,0.6562,-1.5000,1.6373
96,735.0000,663.3750,0.0938,-0.3750,0.3865
97,734.3438,662.2500,-0.6562,-1.1250,1.3024
98,734.1562,660.7500,-0.1875,-1.5000,1.5117
99,732.8438,658.5000,-1.3125,-2.2500,2.6048
100,732.0000,655.5000,-0.8438,-3.0000,3.1164
101,728.9062,651.7500,-3.0938,-3.7500,4.8615
102,728.6250,651.7500,-0.2812,0.0000,0.2812
103,724.1250,669.7500,-4.5000,18.0000,18.5540
104,721.1250,667.1250,-3.0000,-2.6250,3.9863
105,714.8438,662.2500,-6.2812,-4.8750,7.9511
106,706.8750,657.7500,-7.9688,-4.5000,9.1516
107,702.0000,644.3438,-4.8750,-13.4062,14.2651
108,702.0000,644.2500,0.0000,-0.0938,0.0938
109,697.5000,637.1250,-4.5000,-7.1250,8.4271
110,697.8750,644.2500,0.3750,7.1250,7.1349
111,704.6250,647.2500,6.7500,3.0000,7.3866
112,704.9062,645.0000,0.2812,-2.2500,2.2675
113,705.7500,640.8750,0.8438,-4.1250,4.2104
114,705.7500,640.8750,0.0000,0.0000,0.0000
115,709.5938,624.0000,3.8438,-16.8750,17.3072
116,710.3438,642.3750,0.7500,18.3750,18.3903
117,709.4062,644.1562,-0.9375,1.7812,2.0129
118,705.3750,645.7500,-4.0312,1.5938,4.3349
119,704.2500,635.2500,-1.1250,-10.5000,10.5601
