Keypoint,Mean,Std,P95,Max
Nose,1.0353,0.8777,2.5439,6.0467
Left_Ear,0.8736,0.9090,2.2578,6.0467
Right_Ear,1.0276,1.1482,2.1213,7.3866
Chest,1.4582,1.4730,3.3541,9.1549
Mid_Back,1.9042,1.9163,4.1104,13.1196
Hip,1.4075,1.0616,3.0233,6.3640
LF_Elbow,1.5622,1.9102,3.5807,14.2943
LF_Paw,1.7246,2.2702,4.2812,15.3887
RF_Elbow,1.2567,0.8228,2.7042,5.4083
RF_Paw,1.4691,1.7339,3.3541,10.7384
LH_Knee,1.8924,1.8626,4.2752,13.7528
LH_Paw,3.3999,5.6441,6.3242,37.5300
RH_Knee,1.6776,1.3170,3.7500,7.6485
RH_Paw,3.0383,1.9726,6.9147,14.4070
Tail_Root,0.0000,0.0000,0.0000,0.0000
Tail_Mid,0.0000,0.0000,0.0000,0.0000
Tail_Tip,0.0000,0.0000,0.0000,0.0000
