frame,kp0_conf,kp1_conf,kp2_conf,kp3_conf,kp4_conf,kp5_conf,kp6_conf,kp7_conf,kp8_conf,kp9_conf,kp10_conf,kp11_conf,kp12_conf,kp13_conf,kp14_conf,kp15_conf,kp16_conf,bbox_conf
1,1.0000,0.9917,0.9985,0.9995,1.0000,1.0000,0.9995,0.9937,1.0000,0.9995,0.9902,0.9946,1.0000,0.9995,0.0000,0.0000,0.0000,0.9722
2,1.0000,0.9922,0.9985,0.9995,1.0000,1.0000,0.9995,0.9937,1.0000,0.9995,0.9922,0.9956,1.0000,1.0000,0.0000,0.0000,0.0000,0.9722
3,1.0000,0.9917,0.9985,0.9995,1.0000,1.0000,0.9995,0.9937,1.0000,0.9995,0.9922,0.9961,1.0000,1.0000,0.0000,0.0000,0.0000,0.9722
4,1.0000,0.9922,0.9985,0.9995,1.0000,1.0000,0.9995,0.9932,1.0000,0.9995,0.9902,0.9946,1.0000,0.9995,0.0000,0.0000,0.0000,0.9722
5,1.0000,0.9917,0.9985,0.9995,1.0000,1.0000,0.9995,0.9932,1.0000,0.9995,0.9912,0.9956,1.0000,0.9995,0.0000,0.0000,0.0000,0.9722
6,1.0000,0.9917,0.9980,0.9995,1.0000,1.0000,0.9995,0.9937,1.0000,0.9995,0.9937,0.9971,1.0000,1.0000,0.0000,0.0000,0.0000,0.9722
7,1.0000,0.9917,0.9985,0.9995,1.0000,1.0000,0.9995,0.9932,1.0000,0.9995,0.9912,0.9956,1.0000,0.9995,0.0000,0.0000,0.0000,0.9722
8,1.0000,0.9912,0.9980,0.9995,1.0000,1.0000,0.9995,0.9927,1.0000,0.9995,0.9907,0.9951,1.0000,0.9995,0.0000,0.0000,0.0000,0.9722
9,1.0000,0.9912,0.9980,0.9995,1.0000,1.0000,0.9995,0.9927,1.0000,0.9990,0.9907,0.9956,1.0000,0.9995,0.0000,0.0000,0.0000,0.9722
10,1.0000,0.9907,0.9980,0.9995,1.0000,1.0000,0.9995,0.9927,1.0000,0.9990,0.9912,0.9956,1.0000,0.9995,0.0000,0.0000,0.0000,0.9722
11,1.0000,0.9907,0.9980,0.9995,1.0000,1.0000,0.9995,0.9922,1.0000,0.9990,0.9897,0.9946,1.0000,0.9995,0.0000,0.0000,0.0000,0.9722
12,1.0000,0.9912,0.9980,0.9995,1.0000,1.0000,0.9995,0.9922,1.0000,0.9990,0.9878,0.9941,1.0000,0.9995,0.0000,0.0000,0.0000,0.9722
13,1.0000,0.9907,0.9980,0.9995,1.0000,1.0000,0.9995,0.9917,1.0000,0.9990,0.9888,0.9941,1.0000,0.9995,0.0000,0.0000,0.0000,0.9722
14,1.0000,0.9907,0.9980,0.9995,1.0000,1.0000,0.9995,0.9917,1.0000,0.9990,0.9897,0.9946,1.0000,0.9995,0.0000,0.0000,0.0000,0.9722
15,1.0000,0.9907,0.9980,0.9995,1.0000,1.0000,0.9995,0.9917,1.0000,0.9990,0.9893,0.9951,1.0000,0.9995,0.0000,0.0000,0.0000,0.9722
16,1.0000,0.9907,0.9980,0.9995,1.0000,1.0000,0.9995,0.9922,1.0000,0.9990,0.9897,0.9951,1.0000,0.9995,0.0000,0.0000,0.0000,0.9722
17,1.0000,0.9907,0.9980,0.9995,1.0000,1.0000,0.9995,0.9922,1.0000,0.9990,0.9902,0.9951,1.0000,0.9995,0.0000,0.0000,0.0000,0.9722
18,1.0000,0.9907,0.9980,0.9995,1.0000,1.0000,0.9995,0.9922,1.0000,0.9990,0.9912,0.9956,1.0000,1.0000,0.0000,0.0000,0.0000,0.9722
