Keypoint,Mean,Std,Min,P5
Nose,0.9839,0.0316,0.7051,0.9398
Left_Ear,0.9858,0.0041,0.9673,0.9783
Right_Ear,0.9975,0.0017,0.9854,0.9946
Chest,0.9995,0.0004,0.9971,0.9990
Mid_Back,0.9993,0.0003,0.9980,0.9990
Hip,1.0000,0.0001,0.9995,0.9995
LF_Elbow,0.9989,0.0009,0.9937,0.9971
LF_Paw,0.9825,0.0204,0.8862,0.9451
RF_Elbow,0.9998,0.0004,0.9980,0.9990
RF_Paw,0.9853,0.0124,0.9453,0.9574
LH_Knee,0.9734,0.0275,0.8589,0.9163
LH_Paw,0.9766,0.0187,0.9062,0.9335
RH_Knee,0.9953,0.0041,0.9761,0.9883
RH_Paw,0.9889,0.0086,0.9590,0.9694
Tail_Root,0.0000,0.0000,0.0000,0.0000
Tail_Mid,0.0000,0.0000,0.0000,0.0000
Tail_Tip,0.0000,0.0000,0.0000,0.0000
BBox_Conf,0.9525,0.0053,0.9395,0.9410
