model,behavior,video_name,frames,frames_with_cat,frames_without_cat,mean_confidence,std_confidence,mean_jitter_px,std_jitter_px,p95_jitter_px,max_jitter_px,missing_ratio,nose_missing_ratio,paw_missing_ratio,tail_missing_ratio
old,walk,walk_15.mp4,280,280,0,0.9914,0.0056,7.089,11.437,25.936,127.395,0.0000,0.0000,0.0000,0.0000
old,walk,walk_19.mp4,982,982,0,0.9835,0.0072,8.606,9.387,24.139,154.949,0.0000,0.0000,0.0000,0.0000
old,walk,walk_20.mp4,121,121,0,0.9984,0.0006,12.171,14.783,34.859,244.989,0.0000,0.0000,0.0000,0.0000
old,walk,walk_21.mp4,206,206,0,0.9948,0.0050,20.453,22.499,61.140,309.701,0.0000,0.0000,0.0000,0.0000
old,lick,7月3日(1).mp4,135,135,0,0.9940,0.0009,2.374,3.119,8.803,23.631,0.0000,0.0000,0.0000,0.0000
old,lick,7月3日(2).mp4,156,156,0,0.9974,0.0003,1.886,2.572,6.733,21.102,0.0000,0.0000,0.0000,0.0000
old,lick,7月3日(3).mp4,121,121,0,0.9982,0.0003,2.509,2.955,8.179,25.305,0.0000,0.0000,0.0000,0.0000
old,lick,7月3日(4).mp4,147,147,0,0.9893,0.0017,1.995,2.482,6.864,23.433,0.0000,0.0000,0.0000,0.0000
old,lick,7月3日.mp4,139,139,0,0.9876,0.0028,3.289,4.042,10.831,30.611,0.0000,0.0000,0.0000,0.0000
old,scratch,7月3日(1).mp4,60,60,0,0.9895,0.0026,5.495,11.273,24.865,157.603,0.0000,0.0000,0.0000,0.0000
old,scratch,7月3日(2).mp4,63,63,0,0.9728,0.0166,10.061,11.109,26.802,164.183,0.0000,0.0000,0.0000,0.0741
old,scratch,7月3日(5).mp4,49,49,0,0.9659,0.0094,6.336,10.364,22.323,124.348,0.0000,0.0000,0.0000,0.0272
old,scratch,7月3日.mp4,67,67,0,0.9836,0.0047,7.331,14.260,35.064,154.915,0.0000,0.0000,0.0000,0.0000
old,shake,7月3日(1).mp4,34,34,0,0.9957,0.0032,13.309,19.076,47.219,133.188,0.0000,0.0000,0.0000,0.0000
old,shake,7月3日(2).mp4,19,19,0,0.9973,0.0019,14.764,19.064,48.405,147.886,0.0000,0.0000,0.0000,0.0000
old,shake,7月3日(3).mp4,20,20,0,0.9551,0.0482,18.971,31.540,94.690,172.924,0.0000,0.0000,0.0000,0.0000
old,shake,7月3日(4).mp4,33,33,0,0.9958,0.0019,8.114,10.181,23.732,77.976,0.0000,0.0000,0.0000,0.0000
old,shake,7月3日(5).mp4,34,34,0,0.9921,0.0063,10.833,13.906,37.578,129.892,0.0000,0.0000,0.0000,0.0000
old,shake,7月3日.mp4,26,26,0,0.9979,0.0007,16.055,21.909,56.589,150.602,0.0000,0.0000,0.0000,0.0000
old,stop,stop_2.mp4,397,397,0,0.9805,0.0108,4.909,10.145,17.878,335.376,0.0000,0.4610,0.0000,0.0395
old,stop,stop_3.mp4,248,248,0,0.9487,0.0109,2.685,3.615,8.059,54.491,0.0000,0.0000,0.0000,0.0000
old,stop,stop_36.mp4,50,50,0,0.9979,0.0004,1.283,2.555,6.003,29.512,0.0000,0.0000,0.0000,0.0000
old,stop,stop_48.mp4,55,55,0,0.9929,0.0007,1.874,4.568,6.405,70.851,0.0000,0.0000,0.0000,0.0000
old,stop,stop_6.mp4,285,285,0,0.9986,0.0004,1.545,3.847,8.018,50.357,0.0000,0.0000,0.0000,0.0000
old,stop,stop_71.mp4,92,92,0,0.9955,0.0004,1.432,2.287,4.936,21.808,0.0000,0.0000,0.0000,0.0000
old,stop,stop_75.mp4,230,230,0,0.8691,0.0321,5.052,9.205,21.690,100.831,0.0000,0.2696,0.0576,0.1203
