model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.8630,0.2661,6.732,23.059,0.0454
old,1,Left_Ear,0.9704,0.0455,7.353,25.298,0.0003
old,2,Right_Ear,0.9526,0.0628,7.790,27.879,0.0002
old,3,Chest,0.9984,0.0039,4.952,16.142,0.0000
old,4,Mid_Back,0.9978,0.0064,4.727,16.858,0.0000
old,5,Hip,0.9978,0.0237,4.856,17.671,0.0000
old,6,LF_Elbow,0.9943,0.0260,6.520,25.372,0.0000
old,7,LF_Paw,0.9877,0.0362,10.929,44.173,0.0002
old,8,RF_Elbow,0.9937,0.0209,6.450,26.266,0.0000
old,9,RF_Paw,0.9789,0.0451,10.887,49.898,0.0000
old,10,LH_Knee,0.9666,0.1478,6.103,23.869,0.0138
old,11,LH_Paw,0.9681,0.1169,11.289,48.913,0.0027
old,12,RH_Knee,0.9885,0.0567,6.316,26.965,0.0014
old,13,RH_Paw,0.9704,0.0936,11.263,49.887,0.0033
old,14,Tail_Root,0.9861,0.0931,5.408,17.976,0.0074
old,15,Tail_Mid,0.9663,0.1440,6.051,21.800,0.0126
old,16,Tail_Tip,0.8531,0.2560,8.911,30.172,0.0623
new,0,Nose,0.8881,0.2302,6.497,23.251,0.0308
new,1,Left_Ear,0.9643,0.0738,6.847,24.719,0.0002
new,2,Right_Ear,0.9466,0.0784,6.896,23.445,0.0000
new,3,Chest,0.9982,0.0038,4.441,15.270,0.0000
new,4,Mid_Back,0.9985,0.0030,4.522,17.037,0.0000
new,5,Hip,0.9978,0.0208,4.535,15.838,0.0000
new,6,LF_Elbow,0.9649,0.1459,5.910,22.612,0.0129
new,7,LF_Paw,0.9709,0.0823,9.734,42.180,0.0000
new,8,RF_Elbow,0.9962,0.0178,6.069,24.851,0.0000
new,9,RF_Paw,0.9718,0.0505,9.668,43.340,0.0000
new,10,LH_Knee,0.9592,0.1593,5.525,21.225,0.0179
new,11,LH_Paw,0.9573,0.1393,10.564,43.083,0.0021
new,12,RH_Knee,0.9740,0.0903,5.769,22.210,0.0010
new,13,RH_Paw,0.9503,0.1474,10.225,44.723,0.0029
new,14,Tail_Root,0.9824,0.0816,4.681,15.361,0.0045
new,15,Tail_Mid,0.9501,0.1511,5.516,18.097,0.0110
new,16,Tail_Tip,0.8439,0.2725,7.717,27.689,0.0591
