frame_idx,motion_px,rolling_mean_px,is_still,detected,behavior_label
1,0.0000,0.0000,0,1,lick
2,1.3448,0.0000,0,1,lick
3,0.9947,1.1698,1,1,lick
4,2.8637,1.7344,1,1,lick
5,1.8964,1.7749,1,1,lick
6,2.1703,1.8540,0,1,lick
7,2.3272,1.9329,0,1,lick
8,1.9954,1.9418,0,1,lick
9,1.0057,1.8248,0,1,lick
10,2.4549,1.8948,0,1,lick
11,3.4833,2.0536,0,1,lick
12,1.6749,2.0192,0,1,lick
13,1.2770,1.9574,0,1,lick
14,1.2872,1.9058,0,1,lick
15,1.8196,1.8997,0,1,lick
16,2.3856,1.9321,0,1,lick
17,2.5338,1.9697,0,1,lick
18,3.0671,2.0342,0,1,lick
19,1.5166,2.0055,0,1,lick
20,0.4597,1.9241,0,1,lick
21,4.0991,2.0329,0,1,lick
22,2.3866,2.0497,0,1,lick
23,1.8715,2.0416,0,1,lick
24,1.2986,2.0093,0,1,lick
25,0.9583,1.9655,0,1,lick
26,0.6655,1.9135,0,1,lick
27,1.9152,1.9136,0,1,lick
28,2.0996,1.9205,0,1,lick
29,2.6769,1.9475,0,1,lick
30,1.8327,1.9435,0,1,lick
31,0.9094,1.9091,0,1,lick
32,0.8921,1.8940,0,1,lick
33,1.6272,1.9150,0,1,lick
34,2.6842,1.9091,0,1,lick
35,1.6559,1.9010,0,1,lick
36,1.1114,1.8657,0,1,lick
37,1.5831,1.8409,0,1,lick
38,3.5516,1.8928,0,1,lick
39,3.3151,1.9698,0,1,lick
40,1.0054,1.9215,0,1,lick
41,1.8016,1.8654,0,1,lick
42,2.3739,1.8887,0,1,lick
43,4.5609,1.9982,0,1,lick
44,1.0681,1.9909,0,1,lick
45,0.7449,1.9551,0,1,lick
46,0.8617,1.9043,0,1,lick
47,5.1127,1.9902,0,1,lick
48,2.0040,1.9548,0,1,lick
49,1.8969,1.9675,0,1,lick
50,0.7921,1.9785,0,1,lick
51,0.6441,1.8634,0,1,lick
52,0.4587,1.7991,1,1,lick
53,1.6540,1.7919,1,1,lick
54,2.4169,1.8291,0,1,lick
55,1.9959,1.8637,0,1,lick
56,1.2543,1.8834,0,1,lick
57,0.7621,1.8449,0,1,lick
58,1.3334,1.8194,0,1,lick
59,3.4187,1.8441,0,1,lick
60,2.4342,1.8642,0,1,lick
61,1.8771,1.8964,0,1,lick
62,1.5002,1.9167,0,1,lick
63,1.2507,1.9041,0,1,lick
64,1.4830,1.8641,0,1,lick
65,2.0812,1.8783,0,1,lick
66,1.7164,1.8984,0,1,lick
67,2.2229,1.9198,0,1,lick
68,1.4479,1.8496,0,1,lick
69,0.5895,1.7588,1,1,lick
70,1.0533,1.7604,1,1,lick
71,2.6525,1.7887,1,1,lick
72,1.7415,1.7677,1,1,lick
73,1.5022,1.6657,1,1,lick
74,1.0137,1.6639,1,1,lick
75,0.5780,1.6583,1,1,lick
76,0.7442,1.6544,1,1,lick
77,1.0712,1.5197,1,1,lick
