frame_idx,motion_px,rolling_mean_px,is_still,detected,behavior_label
1,0.0000,0.0000,0,1,scratch
2,0.2387,0.0000,0,1,scratch
3,0.2939,0.2663,1,1,scratch
4,0.2091,0.2472,1,1,scratch
5,0.2957,0.2593,1,1,scratch
6,0.2635,0.2602,1,1,scratch
7,0.1964,0.2495,1,1,scratch
8,0.2315,0.2470,1,1,scratch
9,0.3447,0.2592,1,1,scratch
10,0.1804,0.2504,1,1,scratch
11,0.2066,0.2460,1,1,scratch
12,0.3202,0.2528,1,1,scratch
13,0.4906,0.2726,1,1,scratch
14,0.3512,0.2786,1,1,scratch
15,0.2244,0.2748,1,1,scratch
16,0.2584,0.2737,1,1,scratch
17,0.5408,0.2904,1,1,scratch
18,0.4807,0.3016,1,1,scratch
19,0.4711,0.3110,1,1,scratch
20,0.3551,0.3133,1,1,scratch
21,0.4476,0.3200,1,1,scratch
22,0.3688,0.3224,1,1,scratch
23,0.4812,0.3296,1,1,scratch
24,0.3610,0.3309,1,1,scratch
25,0.3924,0.3335,1,1,scratch
26,0.3190,0.3329,1,1,scratch
27,0.1299,0.3251,1,1,scratch
28,0.0744,0.3158,1,1,scratch
29,0.3680,0.3177,1,1,scratch
30,0.2724,0.3161,1,1,scratch
31,0.1797,0.3116,1,1,scratch
32,0.1752,0.3095,1,1,scratch
33,0.5806,0.3190,1,1,scratch
34,0.5462,0.3303,1,1,scratch
35,0.3422,0.3318,1,1,scratch
36,0.4217,0.3371,1,1,scratch
37,0.9526,0.3623,1,1,scratch
38,0.5614,0.3733,1,1,scratch
39,0.8339,0.3896,1,1,scratch
40,0.6389,0.4049,1,1,scratch
41,0.7496,0.4230,1,1,scratch
42,0.3375,0.4236,1,1,scratch
43,0.2941,0.4170,1,1,scratch
44,0.1876,0.4116,1,1,scratch
45,0.2994,0.4141,1,1,scratch
46,0.2351,0.4133,1,1,scratch
47,0.3293,0.4062,1,1,scratch
48,0.3586,0.4022,1,1,scratch
49,0.5681,0.4054,1,1,scratch
50,0.8142,0.4207,1,1,scratch
51,0.9487,0.4374,1,1,scratch
52,1.2802,0.4678,1,1,scratch
53,0.7920,0.4781,1,1,scratch
54,0.5357,0.4840,1,1,scratch
55,0.4225,0.4850,1,1,scratch
56,0.4925,0.4907,1,1,scratch
57,0.9057,0.5166,1,1,scratch
58,2.1794,0.5868,1,1,scratch
59,3.1983,0.6811,1,1,scratch
60,3.8096,0.7990,1,1,scratch
61,11.1850,1.1659,1,1,scratch
62,7.3396,1.4047,1,1,scratch
63,8.2739,1.6611,1,1,scratch
64,13.4987,2.0929,0,1,scratch
65,7.9395,2.3461,0,1,scratch
66,5.8734,2.5278,0,1,scratch
67,6.0435,2.6975,0,1,scratch
68,4.1083,2.8158,0,1,scratch
69,3.4173,2.9019,0,1,scratch
70,3.2621,2.9893,0,1,scratch
71,3.5711,3.0834,0,1,scratch
72,3.8121,3.1992,0,1,scratch
73,4.1414,3.3274,0,1,scratch
74,3.0604,3.4232,0,1,scratch
75,2.6216,3.5006,0,1,scratch
76,2.4688,3.5750,0,1,scratch
77,2.2752,3.6399,0,1,scratch
78,2.0312,3.6957,0,1,scratch
79,2.5216,3.7608,0,1,scratch
80,1.4450,3.7818,0,1,scratch
81,1.8389,3.8115,0,1,scratch
82,1.8727,3.8312,0,1,scratch
83,2.1209,3.8755,0,1,scratch
84,1.9247,3.9218,0,1,scratch
85,1.3387,3.9524,0,1,scratch
86,1.4067,3.9828,0,1,scratch
87,1.5213,4.0034,0,1,scratch
88,2.2279,4.0050,0,1,scratch
89,1.5172,3.9489,0,1,scratch
90,1.6154,3.8758,0,1,scratch
91,1.2723,3.5454,0,1,scratch
92,0.9222,3.3315,0,1,scratch
93,2.3014,3.1324,0,1,scratch
94,1.8773,2.7450,0,1,scratch
95,1.5328,2.5314,0,1,scratch
96,1.6831,2.3918,0,1,scratch
97,3.1084,2.2939,0,1,scratch
98,1.4702,2.2060,0,1,scratch
99,1.3491,2.1370,0,1,scratch
100,1.5209,2.0790,0,1,scratch
101,1.4329,2.0077,0,1,scratch
102,1.9539,1.9458,0,1,scratch
103,1.2324,1.8488,0,1,scratch
104,2.6812,1.8362,0,1,scratch
105,1.5753,1.8013,0,1,scratch
106,1.5059,1.7692,1,1,scratch
107,1.5081,1.7437,1,1,scratch
108,1.3989,1.7226,1,1,scratch
109,1.5339,1.6896,1,1,scratch
110,2.0415,1.7095,1,1,scratch
111,1.6444,1.7030,1,1,scratch
112,1.2800,1.6833,1,1,scratch
113,2.2930,1.6890,1,1,scratch
114,2.2824,1.7009,1,1,scratch
115,2.5224,1.7404,1,1,scratch
116,2.7667,1.7857,1,1,scratch
117,1.0809,1.7711,1,1,scratch
118,2.1161,1.7673,1,1,scratch
119,1.3452,1.7616,1,1,scratch
120,2.8649,1.8032,0,1,scratch
121,2.5121,1.8446,0,1,scratch
122,1.6385,1.8684,0,1,scratch
123,2.5270,1.8760,0,1,scratch
124,1.7237,1.8709,0,1,scratch
125,2.1337,1.8909,0,1,scratch
126,2.8474,1.9297,0,1,scratch
127,2.3972,1.9060,0,1,scratch
128,3.2381,1.9649,0,1,scratch
129,3.6658,2.0421,0,1,scratch
130,1.9980,2.0580,0,1,scratch
131,2.8710,2.1060,0,1,scratch
132,2.4688,2.1231,0,1,scratch
133,2.6263,2.1696,0,1,scratch
134,3.1813,2.1863,0,1,scratch
135,1.8863,2.1966,0,1,scratch
136,1.2162,2.1870,0,1,scratch
137,1.4749,2.1859,0,1,scratch
138,1.6047,2.1927,0,1,scratch
139,1.3859,2.1878,0,1,scratch
140,2.0624,2.1885,0,1,scratch
141,1.2730,2.1761,0,1,scratch
142,1.8799,2.1961,0,1,scratch
143,1.5658,2.1719,0,1,scratch
144,1.6096,2.1495,0,1,scratch
145,1.6678,2.1210,0,1,scratch
146,1.8376,2.0900,0,1,scratch
147,1.3829,2.1001,0,1,scratch
148,1.9607,2.0949,0,1,scratch
149,1.3959,2.0966,0,1,scratch
150,1.7654,2.0599,0,1,scratch
151,1.2181,2.0168,0,1,scratch
152,1.7702,2.0212,0,1,scratch
153,1.6960,1.9935,0,1,scratch
154,1.5010,1.9861,0,1,scratch
155,2.1009,1.9850,0,1,scratch
156,1.3543,1.9352,0,1,scratch
157,2.0826,1.9247,0,1,scratch
158,2.0038,1.8836,0,1,scratch
159,2.8080,1.8550,0,1,scratch
160,1.9095,1.8520,0,1,scratch
161,3.2497,1.8646,0,1,scratch
162,4.0383,1.9170,0,1,scratch
163,3.1084,1.9330,0,1,scratch
164,2.7427,1.9184,0,1,scratch
165,1.7325,1.9133,0,1,scratch
166,1.8267,1.9336,0,1,scratch
167,2.1009,1.9545,0,1,scratch
168,1.7731,1.9601,0,1,scratch
169,3.0090,2.0142,0,1,scratch
170,4.3869,2.0917,0,1,scratch
171,4.6894,2.2056,0,1,scratch
172,1.7981,2.2029,0,1,scratch
173,1.1690,2.1896,0,1,scratch
174,4.5909,2.2890,0,1,scratch
175,1.4808,2.2828,0,1,scratch
176,4.2914,2.3646,0,1,scratch
177,4.2764,2.4610,0,1,scratch
178,1.8086,2.4559,0,1,scratch
179,2.2029,2.4828,0,1,scratch
180,6.0480,2.6256,0,1,scratch
181,9.9629,2.9171,0,1,scratch
182,7.9734,3.1239,0,1,scratch
183,12.7923,3.4937,0,1,scratch
184,7.1452,3.6819,0,1,scratch
185,5.3477,3.7901,0,1,scratch
