frame_idx,motion_norm,rolling_mean_norm,is_still,detected,behavior_label
1,0.0000,0.0000,0,1,scratch
2,0.0858,0.0000,0,1,scratch
3,0.1250,0.1054,1,1,scratch
4,0.0731,0.0946,1,1,scratch
5,0.0888,0.0932,1,1,scratch
6,0.0911,0.0928,1,1,scratch
7,0.0837,0.0913,1,1,scratch
8,0.0668,0.0878,1,1,scratch
9,0.1106,0.0906,1,1,scratch
10,0.0663,0.0879,1,1,scratch
11,0.0722,0.0863,1,1,scratch
12,0.1047,0.0880,1,1,scratch
13,0.1550,0.0936,1,1,scratch
14,0.1236,0.0959,1,1,scratch
15,0.0852,0.0951,1,1,scratch
16,0.0892,0.0947,1,1,scratch
17,0.1950,0.1010,1,1,scratch
18,0.1748,0.1066,1,1,scratch
19,0.1701,0.1094,1,1,scratch
20,0.1127,0.1119,1,1,scratch
21,0.1439,0.1153,1,1,scratch
22,0.1477,0.1188,1,1,scratch
23,0.1904,0.1255,1,1,scratch
24,0.1430,0.1303,1,1,scratch
25,0.1351,0.1318,1,1,scratch
26,0.0931,0.1335,1,1,scratch
27,0.0320,0.1310,1,1,scratch
28,0.0320,0.1264,1,1,scratch
29,0.0895,0.1223,1,1,scratch
