frame_idx,motion_norm,rolling_mean_norm,is_still,detected,behavior_label
1,0.0000,0.0000,0,1,shake
2,0.0054,0.0000,0,1,shake
3,0.0037,0.0046,1,1,shake
4,0.0029,0.0040,1,1,shake
5,0.0040,0.0040,1,1,shake
6,0.0035,0.0039,1,1,shake
7,0.0031,0.0038,1,1,shake
8,0.0037,0.0038,1,1,shake
9,0.0041,0.0038,1,1,shake
10,0.0042,0.0038,1,1,shake
11,0.0042,0.0039,1,1,shake
12,0.0047,0.0040,1,1,shake
13,0.0210,0.0054,1,1,shake
14,0.0030,0.0052,1,1,shake
15,0.0021,0.0050,1,1,shake
16,0.0024,0.0048,1,1,shake
17,0.0022,0.0046,1,1,shake
18,0.0021,0.0045,1,1,shake
19,0.0014,0.0043,1,1,shake
20,0.0023,0.0042,1,1,shake
21,0.0018,0.0041,1,1,shake
22,0.0016,0.0040,1,1,shake
23,0.0015,0.0039,1,1,shake
24,0.0021,0.0038,1,1,shake
25,0.0019,0.0037,1,1,shake
26,0.0179,0.0043,1,1,shake
27,0.0017,0.0042,1,1,shake
28,0.0013,0.0041,1,1,shake
