frame_idx,motion_px,rolling_mean_px,is_still,detected,behavior_label
1,0.0000,0.0000,0,1,shake
2,1.3669,0.0000,0,1,shake
3,3.2229,2.2949,0,1,shake
4,1.1354,1.9084,1,1,shake
5,0.7676,1.6232,1,1,shake
6,1.0100,1.5006,1,1,shake
7,3.0127,1.7526,1,1,shake
8,1.9021,1.7739,1,1,shake
9,1.5287,1.7433,1,1,shake
10,1.7277,1.7415,1,1,shake
11,1.3889,1.7063,1,1,shake
12,1.3187,1.6710,1,1,shake
13,1.4489,1.6525,1,1,shake
14,1.0052,1.6027,1,1,shake
15,0.7238,1.5400,1,1,shake
16,0.4341,1.4662,1,1,shake
17,0.5789,1.4108,1,1,shake
18,0.3131,1.3462,1,1,shake
19,0.3111,1.2887,1,1,shake
20,0.4396,1.2440,1,1,shake
21,0.4134,1.2025,1,1,shake
22,0.4061,1.1646,1,1,shake
23,0.4032,1.1300,1,1,shake
24,0.5597,1.1052,1,1,shake
25,0.6410,1.0858,1,1,shake
26,0.4899,1.0620,1,1,shake
27,0.4183,1.0372,1,1,shake
28,0.4066,1.0139,1,1,shake
29,0.2336,0.9860,1,1,shake
30,0.2001,0.9589,1,1,shake
31,0.3622,0.9390,1,1,shake
32,0.4053,0.9070,1,1,shake
33,0.7652,0.8250,1,1,shake
34,1.2716,0.8296,1,1,shake
35,1.7801,0.8633,1,1,shake
36,2.0669,0.8986,1,1,shake
37,3.6080,0.9184,1,1,shake
38,8.7741,1.1475,1,1,shake
39,7.8269,1.3574,1,1,shake
40,11.8509,1.6948,1,1,shake
41,13.4136,2.0957,0,1,shake
42,10.6201,2.4057,0,1,shake
43,7.7870,2.6170,0,1,shake
44,11.5834,2.9696,0,1,shake
45,11.5579,3.3307,0,1,shake
46,9.1190,3.6202,0,1,shake
47,10.9444,3.9657,0,1,shake
48,7.5845,4.2081,0,1,shake
49,8.1148,4.4682,0,1,shake
50,6.9317,4.6846,0,1,shake
51,3.9815,4.8036,0,1,shake
52,12.3504,5.2017,0,1,shake
53,13.7656,5.6471,0,1,shake
54,7.3928,5.8749,0,1,shake
55,5.7225,6.0443,0,1,shake
56,10.3122,6.3717,0,1,shake
57,14.0313,6.8255,0,1,shake
58,11.0306,7.1796,0,1,shake
59,6.6006,7.3918,0,1,shake
60,3.5044,7.5020,0,1,shake
61,3.3910,7.6029,0,1,shake
62,3.5759,7.7086,0,1,shake
63,3.0720,7.7855,0,1,shake
64,2.9960,7.8430,0,1,shake
65,2.2412,7.8584,0,1,shake
66,2.1455,7.8610,0,1,shake
67,2.8364,7.8353,0,1,shake
68,2.0052,7.6096,0,1,shake
69,1.9687,7.4144,0,1,shake
70,1.4710,7.0684,0,1,shake
71,0.9400,6.6526,0,1,shake
72,1.0443,6.3334,0,1,shake
73,0.7301,6.0982,0,1,shake
74,0.7239,5.7362,0,1,shake
75,0.7023,5.3743,0,1,shake
76,0.7136,5.0941,0,1,shake
77,0.7690,4.7550,0,1,shake
78,0.6742,4.5246,0,1,shake
79,0.8795,4.2834,0,1,shake
80,0.5550,4.0709,0,1,shake
81,0.5977,3.9581,0,1,shake
82,0.5050,3.5632,0,1,shake
83,0.6210,3.1251,0,1,shake
84,0.3152,2.8892,0,1,shake
