frame_idx,motion_norm,rolling_mean_norm,is_still,detected,behavior_label
1,0.0000,0.0000,0,1,stop
2,0.0016,0.0000,0,1,stop
3,0.0734,0.0375,1,1,stop
4,0.0694,0.0481,1,1,stop
5,0.0843,0.0572,1,1,stop
6,0.0854,0.0628,1,1,stop
7,0.0866,0.0668,1,1,stop
8,0.0700,0.0673,1,1,stop
9,0.0795,0.0688,1,1,stop
10,0.0666,0.0685,1,1,stop
11,0.0448,0.0662,1,1,stop
12,0.0812,0.0675,1,1,stop
13,0.0708,0.0678,1,1,stop
14,0.0866,0.0692,1,1,stop
15,0.1204,0.0729,1,1,stop
16,0.1362,0.0771,1,1,stop
17,0.1447,0.0813,1,1,stop
18,0.0784,0.0812,1,1,stop
19,0.0539,0.0797,1,1,stop
20,0.0433,0.0777,1,1,stop
21,0.0364,0.0757,1,1,stop
22,0.0540,0.0746,1,1,stop
23,0.0810,0.0749,1,1,stop
24,0.0972,0.0759,1,1,stop
25,0.1198,0.0777,1,1,stop
26,0.0994,0.0786,1,1,stop
27,0.0961,0.0793,1,1,stop
28,0.1079,0.0803,1,1,stop
29,0.1244,0.0819,1,1,stop
30,0.0958,0.0824,1,1,stop
31,0.0693,0.0819,1,1,stop
32,0.1130,0.0857,1,1,stop
33,0.2992,0.0932,1,1,stop
34,0.0735,0.0933,1,1,stop
35,0.1411,0.0952,1,1,stop
36,0.1199,0.0964,1,1,stop
37,0.1513,0.0985,1,1,stop
38,0.0990,0.0995,1,1,stop
39,0.1315,0.1012,1,1,stop
40,0.0688,0.1013,1,1,stop
41,0.0413,0.1012,1,1,stop
42,0.0469,0.1000,1,1,stop
43,0.0710,0.1000,1,1,stop
44,0.0433,0.0986,1,1,stop
45,0.0476,0.0962,1,1,stop
46,0.0398,0.0930,1,1,stop
47,0.0394,0.0894,1,1,stop
48,0.0420,0.0882,1,1,stop
49,0.0489,0.0881,1,1,stop
50,0.0388,0.0879,1,1,stop
51,0.0418,0.0881,1,1,stop
52,0.0472,0.0879,1,1,stop
53,0.0408,0.0865,1,1,stop
54,0.0302,0.0843,1,1,stop
55,0.0458,0.0818,1,1,stop
56,0.0388,0.0798,1,1,stop
57,0.0546,0.0784,1,1,stop
58,0.0569,0.0767,1,1,stop
59,0.0529,0.0743,1,1,stop
60,0.0545,0.0730,1,1,stop
61,0.0414,0.0720,1,1,stop
62,0.0441,0.0697,1,1,stop
63,0.0382,0.0610,1,1,stop
64,0.0405,0.0599,1,1,stop
65,0.0519,0.0570,1,1,stop
66,0.0377,0.0542,1,1,stop
67,0.0443,0.0507,1,1,stop
68,0.0394,0.0487,1,1,stop
69,0.0397,0.0456,1,1,stop
70,0.0398,0.0446,1,1,stop
71,0.0410,0.0446,1,1,stop
72,0.0404,0.0444,1,1,stop
73,0.0466,0.0436,1,1,stop
74,0.0500,0.0438,1,1,stop
75,0.1546,0.0474,1,1,stop
76,0.0428,0.0475,1,1,stop
77,0.0305,0.0472,1,1,stop
78,0.1302,0.0501,1,1,stop
79,0.0279,0.0494,1,1,stop
80,0.0385,0.0494,1,1,stop
81,0.0219,0.0488,1,1,stop
82,0.0202,0.0479,1,1,stop
83,0.0137,0.0470,1,1,stop
