frame_idx,motion_px,rolling_mean_px,is_still,detected,behavior_label
1,0.0000,0.0000,0,1,walk
2,3.5620,0.0000,0,1,walk
3,5.7844,4.6732,0,1,walk
4,7.5022,5.6162,0,1,walk
5,4.5111,5.3399,0,1,walk
6,5.7673,5.4254,0,1,walk
7,11.2763,6.4005,0,1,walk
8,3.5984,6.0002,0,1,walk
9,8.4277,6.3037,0,1,walk
10,8.2159,6.5161,0,1,walk
11,3.8646,6.2510,0,1,walk
12,6.5321,6.2765,0,1,walk
13,6.7700,6.3177,0,1,walk
14,4.7728,6.1988,0,1,walk
15,8.5698,6.3682,0,1,walk
16,10.6112,6.6510,0,1,walk
17,3.6824,6.4655,0,1,walk
18,4.9019,6.3735,0,1,walk
19,5.0995,6.3028,0,1,walk
20,5.0798,6.2384,0,1,walk
21,10.9571,6.4743,0,1,walk
22,8.8553,6.5877,0,1,walk
23,4.1126,6.4752,0,1,walk
24,4.5689,6.3923,0,1,walk
25,5.1378,6.3400,0,1,walk
26,4.7230,6.2754,0,1,walk
27,7.6204,6.3271,0,1,walk
28,10.4766,6.4808,0,1,walk
29,2.9636,6.3552,0,1,walk
30,5.2147,6.3158,0,1,walk
31,7.1082,6.3423,0,1,walk
32,5.7942,6.4167,0,1,walk
33,8.8043,6.5173,0,1,walk
34,6.7949,6.4937,0,1,walk
35,3.0578,6.4453,0,1,walk
36,6.8082,6.4800,0,1,walk
37,8.2394,6.3788,0,1,walk
38,6.9901,6.4918,0,1,walk
39,7.3755,6.4568,0,1,walk
40,6.5887,6.4025,0,1,walk
41,5.0654,6.4425,0,1,walk
42,8.4440,6.5063,0,1,walk
43,7.9777,6.5465,0,1,walk
44,6.9552,6.6193,0,1,walk
45,7.4150,6.5808,0,1,walk
46,6.2130,6.4342,0,1,walk
47,3.9844,6.4442,0,1,walk
48,8.2102,6.5545,0,1,walk
49,11.2050,6.7580,0,1,walk
50,5.9748,6.7879,0,1,walk
51,5.9189,6.6199,0,1,walk
52,6.7483,6.5497,0,1,walk
53,3.1546,6.5178,0,1,walk
54,13.0820,6.8015,0,1,walk
55,7.5196,6.8809,0,1,walk
56,4.0430,6.8583,0,1,walk
57,6.8180,6.8315,0,1,walk
58,7.3591,6.7276,0,1,walk
59,4.4662,6.7777,0,1,walk
60,6.8763,6.8331,0,1,walk
61,4.6103,6.7498,0,1,walk
62,2.4153,6.6372,0,1,walk
63,13.8861,6.8066,0,1,walk
64,10.4315,6.9278,0,1,walk
65,3.9400,6.9572,0,1,walk
66,4.9897,6.8966,0,1,walk
67,5.8960,6.8185,0,1,walk
68,4.0205,6.7195,0,1,walk
69,7.1135,6.7107,0,1,walk
70,8.8159,6.7850,0,1,walk
