frame_idx,motion_norm,rolling_mean_norm,is_still,detected,behavior_label
1,0.0000,0.0000,0,1,walk
2,0.0115,0.0000,0,1,walk
3,0.0185,0.0150,1,1,walk
4,0.0242,0.0181,1,1,walk
5,0.0129,0.0168,1,1,walk
6,0.0188,0.0172,1,1,walk
7,0.0380,0.0207,1,1,walk
8,0.0107,0.0192,1,1,walk
9,0.0257,0.0200,1,1,walk
10,0.0231,0.0204,1,1,walk
11,0.0096,0.0193,1,1,walk
12,0.0201,0.0194,1,1,walk
13,0.0189,0.0193,1,1,walk
14,0.0147,0.0190,1,1,walk
15,0.0239,0.0193,1,1,walk
16,0.0338,0.0203,1,1,walk
17,0.0106,0.0197,1,1,walk
18,0.0127,0.0193,1,1,walk
19,0.0143,0.0190,1,1,walk
20,0.0161,0.0189,1,1,walk
21,0.0315,0.0195,1,1,walk
22,0.0277,0.0199,1,1,walk
23,0.0117,0.0195,1,1,walk
24,0.0137,0.0192,1,1,walk
25,0.0152,0.0191,1,1,walk
26,0.0135,0.0189,1,1,walk
27,0.0249,0.0191,1,1,walk
28,0.0362,0.0197,1,1,walk
29,0.0082,0.0193,1,1,walk
30,0.0167,0.0192,1,1,walk
31,0.0235,0.0194,1,1,walk
32,0.0208,0.0197,1,1,walk
33,0.0312,0.0201,1,1,walk
34,0.0212,0.0200,1,1,walk
35,0.0114,0.0199,1,1,walk
36,0.0255,0.0202,1,1,walk
37,0.0327,0.0200,1,1,walk
38,0.0260,0.0205,1,1,walk
39,0.0264,0.0205,1,1,walk
40,0.0230,0.0205,1,1,walk
41,0.0186,0.0208,1,1,walk
42,0.0274,0.0211,1,1,walk
43,0.0273,0.0213,1,1,walk
44,0.0172,0.0214,1,1,walk
45,0.0245,0.0214,1,1,walk
46,0.0217,0.0210,1,1,walk
47,0.0130,0.0211,1,1,walk
48,0.0274,0.0216,1,1,walk
49,0.0379,0.0224,1,1,walk
50,0.0162,0.0224,1,1,walk
51,0.0167,0.0219,1,1,walk
52,0.0211,0.0217,1,1,walk
53,0.0100,0.0216,1,1,walk
54,0.0401,0.0225,1,1,walk
55,0.0242,0.0228,1,1,walk
56,0.0119,0.0228,1,1,walk
57,0.0219,0.0227,1,1,walk
58,0.0233,0.0222,1,1,walk
59,0.0142,0.0224,1,1,walk
60,0.0201,0.0225,1,1,walk
61,0.0130,0.0222,1,1,walk
62,0.0069,0.0217,1,1,walk
63,0.0443,0.0222,1,1,walk
64,0.0304,0.0225,1,1,walk
65,0.0109,0.0225,1,1,walk
66,0.0146,0.0221,1,1,walk
67,0.0176,0.0216,1,1,walk
68,0.0120,0.0211,1,1,walk
69,0.0230,0.0210,1,1,walk
70,0.0267,0.0211,1,1,walk
71,0.0127,0.0209,1,1,walk
72,0.0277,0.0210,1,1,walk
73,0.0170,0.0206,1,1,walk
74,0.0135,0.0205,1,1,walk
75,0.0362,0.0209,1,1,walk
76,0.0251,0.0210,1,1,walk
77,0.0166,0.0211,1,1,walk
78,0.0243,0.0210,1,1,walk
79,0.0343,0.0209,1,1,walk
80,0.0156,0.0209,1,1,walk
81,0.0208,0.0210,1,1,walk
82,0.0361,0.0215,1,1,walk
83,0.0138,0.0216,1,1,walk
84,0.0259,0.0212,1,1,walk
85,0.0271,0.0212,1,1,walk
86,0.0186,0.0215,1,1,walk
87,0.0339,0.0219,1,1,walk
88,0.0437,0.0226,1,1,walk
89,0.0179,0.0227,1,1,walk
90,0.0332,0.0231,1,1,walk
91,0.0299,0.0237,1,1,walk
92,0.0179,0.0240,1,1,walk
93,0.0277,0.0235,1,1,walk
94,0.0290,0.0234,1,1,walk
95,0.0174,0.0237,1,1,walk
96,0.0251,0.0240,1,1,walk
97,0.0262,0.0243,1,1,walk
